Time,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020,7/15/2020,7/16/2020,7/17/2020,7/18/2020,7/19/2020,7/20/2020,7/21/2020,7/22/2020,7/23/2020,7/24/2020,7/25/2020,7/26/2020,7/27/2020,7/28/2020,7/29/2020,7/30/2020,7/31/2020,8/1/2020,8/2/2020,8/3/2020,8/4/2020,8/5/2020,8/6/2020,8/7/2020,8/8/2020,8/9/2020,8/10/2020,8/11/2020,8/12/2020,8/13/2020,8/14/2020,8/15/2020,8/16/2020,8/17/2020,8/18/2020,8/19/2020,8/20/2020,8/21/2020,8/22/2020,8/23/2020,8/24/2020,8/25/2020,8/26/2020,8/27/2020,8/28/2020,8/29/2020,8/30/2020,8/31/2020,9/1/2020,9/2/2020,9/3/2020,9/4/2020,9/5/2020,9/6/2020,9/7/2020,9/8/2020,9/9/2020,9/10/2020,9/11/2020,9/12/2020,9/13/2020,9/14/2020,9/15/2020,9/16/2020,9/17/2020,9/18/2020,9/19/2020,9/20/2020,9/21/2020,9/22/2020,9/23/2020,9/24/2020,9/25/2020,9/26/2020,9/27/2020,9/28/2020,9/29/2020,9/30/2020,10/1/2020,10/2/2020,10/3/2020,10/4/2020,10/5/2020,10/6/2020,10/7/2020,10/8/2020,10/9/2020,10/10/2020,10/11/2020,10/12/2020,10/13/2020,10/14/2020,10/15/2020,10/16/2020,10/17/2020,10/18/2020,10/19/2020,10/20/2020,10/21/2020,10/22/2020,10/23/2020,10/24/2020,10/25/2020,10/26/2020,10/27/2020,10/28/2020,10/29/2020,10/30/2020,10/31/2020,11/1/2020,11/2/2020,11/3/2020,11/4/2020,11/5/2020,11/6/2020,11/7/2020,11/8/2020,11/9/2020,11/10/2020,11/11/2020,11/12/2020,11/13/2020,11/14/2020,11/15/2020,11/16/2020,11/17/2020,11/18/2020,11/19/2020,11/20/2020
New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,11,3,52,29,33,14,64,80,83,178,76,328,446,1100,1714,3439,2750,4781,5693,4797,5160,6556,7304,7699,7248,7015,9190,8095,8558,10481,10846,9327,8655,8060,11186,10718,10569,8678,8007,6716,7271,11434,9237,6906,6806,6148,5080,4865,4931,5033,8130,10553,5902,3951,3110,4585,4681,3942,4663,3438,2538,2239,2786,3491,2938,2715,2273,1660,1430,2176,2390,2762,2419,1889,1250,1474,1525,2088,1696,1772,1589,1249,1072,1129,1768,1551,1376,1110,941,1329,1045,1048,1075,1108,781,702,683,674,736,822,916,694,620,631,567,618,796,716,664,552,597,581,749,805,703,616,391,524,625,875,918,726,533,518,588,692,584,786,730,677,557,912,831,769,776,754,502,519,855,705,811,753,750,536,608,534,715,777,644,753,531,545,746,636,703,714,703,515,476,667,700,737,727,734,607,408,655,631,601,709,653,572,408,629,566,791,636,635,698,656,754,708,889,864,801,729,520,557,576,757,880,849,725,583,766,652,896,790,986,862,573,754,665,955,908,1005,866,834,1189,1000,1382,1598,1731,1222,933,1393,1360,1836,1592,1447,1143,1029,1393,1232,1460,1707,1784,1390,998,1201,2026,1628,1637,2061,1632,1191,1991,2031,2499,2255,2112,2192,1633,2321,2126,2997,3209,3587,3428,3144,3965,4820,4797,5401,5388,3649,3490,5088,5294,5310,5468
California,0,0,0,2,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,9,4,10,16,8,22,14,6,43,34,43,60,91,1,184,143,131,178,234,169,239,462,429,467,901,769,431,753,1292,1078,1177,1380,1226,821,2197,990,1327,1546,813,1371,636,1083,1134,1455,1297,991,1480,1354,920,2255,1794,1872,2209,1794,1013,1191,1413,1192,2583,1383,1896,1321,1556,981,2572,2160,1532,1652,2772,1028,1729,1651,1818,2073,1822,2032,1441,1352,2246,2254,2038,2225,2283,1505,2401,3022,1579,2742,2825,3257,2056,2782,2482,2159,2820,3589,2823,2051,3159,2865,3034,3724,3220,3375,2315,3377,3235,3837,4335,3729,4381,3414,6108,6712,4547,5088,5732,3848,4795,8159,7772,7263,7869,3964,2381,11786,6354,12977,8548,9924,8401,7876,5782,8814,12854,8674,9821,8553,7486,6161,10964,11435,11981,9487,9412,6267,5836,5833,12641,14151,8021,7622,6057,5562,4676,9834,3921,10733,5475,7574,5358,14485,4715,12430,6608,15117,4893,5879,5542,8725,9134,4993,6633,5535,4845,6281,5471,5972,4817,5564,4653,3913,6524,3142,5664,4737,4644,4652,3542,2109,3379,2946,3671,3944,4028,2795,3406,3070,3117,3716,4454,3822,2855,3928,2969,3371,3080,4144,3791,2439,2821,2943,3461,3090,3808,3508,3192,2794,2695,3726,3342,3806,3334,2780,2723,3397,3894,2944,3105,2361,2078,3953,4101,3193,6425,5435,4885,2912,3842,4450,4388,4372,4380,4115,3735,4533,4990,5519,5934,6357,6151,3351,8584,8135,6143,8541,9450,9501,9028,9595,10595,11755,13134,12576
Florida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,4,3,3,2,9,6,20,26,24,1,89,116,126,132,199,241,223,185,270,675,543,863,483,1227,1268,215,2052,1260,1269,813,974,1221,911,908,1167,963,1401,1124,609,883,832,1416,733,822,745,810,440,1339,885,306,693,606,710,345,497,1038,735,615,819,542,563,826,371,802,595,386,941,479,808,928,673,777,854,502,527,1204,776,676,740,879,509,379,651,1212,927,739,667,617,1317,1419,1305,1270,1180,966,1096,1371,1698,1902,2581,2016,1758,2783,2610,3207,3822,4049,3494,2926,3286,5511,5004,8942,9585,8530,5266,6093,6563,10109,9488,11458,10059,6336,7347,9989,8935,11433,10360,15300,12624,9194,10181,13965,11466,10328,12478,10347,9440,9785,10249,12444,12199,9344,8892,9230,9446,9956,9007,9642,7104,4752,5446,5409,7650,7686,8502,6229,4155,5831,8109,6236,6148,6352,3779,2678,3838,4115,4555,4684,4311,2974,2258,2673,3220,3269,3815,3197,2583,1885,7569,2402,3571,3198,3656,2564,1838,1823,2167,2472,3650,3190,2423,1736,3116,2355,3255,3204,3573,2521,1685,2470,2590,2541,2847,2795,1882,738,3266,1948,2628,2660,2787,1868,1415,2251,2582,3306,2908,0,5570,1533,2725,2883,3356,3449,4044,2539,1707,3662,2144,5558,3689,4471,2385,3377,4298,4115,4198,5592,2331,4865,4651,4637,4423,6257,5245,4452,6820,3924,4353,5838,5607,6933,4544,10105,4663,7459,7925,9085,9085
Hawaii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,-1,0,0,2,2,2,2,5,10,11,0,17,3,34,1,4,11,43,0,26,29,20,32,63,32,20,16,23,0,32,0,23,34,5,7,13,6,11,33,6,4,2,6,4,5,4,1,1,2,4,5,1,1,0,1,4,1,3,0,2,1,2,1,3,-1,1,1,1,0,1,2,4,-5,1,0,0,0,1,3,2,2,1,0,1,0,2,9,9,2,1,6,3,7,14,17,5,8,0,8,18,27,0,25,2,3,16,16,15,6,27,1,17,9,20,29,24,24,7,41,23,36,28,42,20,23,21,28,19,23,20,27,12,25,17,55,59,71,63,28,46,108,124,122,86,45,206,143,172,151,201,231,152,140,118,202,354,231,282,217,173,134,260,235,228,284,244,169,215,276,306,264,309,200,133,181,338,211,271,220,162,104,66,98,169,301,129,112,79,65,102,159,137,109,77,56,63,167,90,140,127,98,87,87,120,105,86,133,70,50,83,108,101,161,71,101,42,61,99,90,89,96,82,37,88,77,102,140,89,119,37,64,61,77,100,68,83,77,87,155,99,138,128,128,63,78,117,97,118,107,0,94,52,69,107,118
Nevada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,3,3,8,2,0,25,10,0,40,66,0,29,55,33,45,97,116,90,294,92,102,165,184,51,228,113,98,171,135,197,266,-20,134,154,144,77,3,310,102,102,102,107,144,127,190,141,195,-34,121,113,119,195,141,83,158,30,81,114,65,251,-51,32,161,163,28,229,80,136,112,35,292,12,125,1,355,75,101,93,98,128,141,111,74,156,93,178,180,182,178,147,229,173,255,231,293,204,114,368,171,315,355,452,264,288,469,365,497,381,1099,821,734,562,645,632,985,857,843,491,876,516,603,1004,930,845,832,1104,849,1447,1380,1182,1288,948,815,1129,1262,966,931,1027,988,1105,870,1018,1264,986,1131,994,980,649,729,976,886,811,742,548,528,602,1099,859,697,662,672,389,556,849,636,532,409,403,253,554,632,609,447,320,405,239,351,489,390,508,357,137,154,288,260,414,317,277,226,208,347,501,323,385,232,262,509,390,556,602,373,463,404,385,430,772,526,392,337,479,431,480,766,806,380,569,487,479,655,716,967,609,582,656,565,789,812,1147,891,475,730,571,1073,1232,977,716,637,911,1068,1267,1562,1824,1276,960,1322,1107,1469,1857,2269,1177,1916,1696,1664,2417,1838
Massachusetts,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,8,14,44,19,5,14,22,29,61,73,68,149,248,259,278,387,322,286,608,718,748,935,941,657,523,1238,1264,1339,1279,1486,1163,981,1931,2024,1863,1987,2060,1301,933,2023,2879,2605,2392,2998,1489,1093,2692,2195,2711,2407,2284,1498,847,2132,2109,2191,2051,2086,1031,739,1882,1738,1705,1685,1457,692,395,1311,1453,1317,1316,1108,651,372,1320,1077,1029,978,883,400,316,215,884,710,651,537,285,170,514,454,469,382,340,152,154,365,351,266,239,263,105,84,239,210,259,261,180,97,83,230,196,215,214,208,142,73,208,227,227,234,109,67,115,250,253,231,275,246,126,102,302,237,318,246,245,135,94,293,291,290,302,282,184,143,385,356,351,354,353,152,121,381,324,347,382,325,182,102,380,307,313,369,361,176,121,382,397,343,361,300,165,110,413,404,401,377,376,203,157,450,404,404,-280,212,438,366,229,171,181,403,440,554,286,254,313,306,429,454,599,359,256,173,543,481,488,569,592,430,512,532,754,761,672,644,515,495,535,444,765,639,563,760,749,580,587,767,584,730,828,976,702,1049,1070,1203,1077,1212,1260,1181,1346,1582,1430,1131,842,1036,1714,1862,2113,2302,1823,1328,2154,2660,2648,2906,3047,2133,2164,2525,2904,2682,2399
Texas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,3,2,3,5,6,17,16,3,22,25,86,110,123,153,61,115,197,274,334,374,518,337,355,662,546,714,665,833,642,834,882,852,1431,897,918,654,598,731,901,969,973,855,556,491,913,657,1329,992,511,814,445,945,1012,1358,965,1225,1081,785,1129,1016,1108,1210,1148,864,1297,1113,1352,1460,1241,1731,944,781,1375,1307,1194,486,1237,1085,548,821,1312,1853,506,1993,1758,941,1717,1567,1678,1993,1922,938,1055,1745,2569,1881,2269,1988,1608,1688,3358,4130,3560,4135,4187,3363,4846,5142,5200,6426,5615,5721,4828,5984,6354,9308,6769,7662,7159,3463,8221,10384,8903,11612,9379,8495,8347,7016,9799,11315,14962,11914,9338,8151,8526,7288,12544,9422,7327,9922,3798,6252,8157,10502,9234,10064,6445,3407,8479,9408,10967,6921,7384,6328,5696,6253,8119,6277,6880,8816,6879,8842,5716,7702,5821,5259,5670,3717,4756,4227,6066,6320,3901,4805,7397,2819,3169,4982,4134,3567,5928,4465,2387,839,3386,5073,1641,5802,2682,4260,3863,7005,4054,4543,3213,3377,5067,21771,6585,1550,4453,3702,3243,4445,2442,6066,5755,3717,5570,5119,2769,4125,4250,5121,4064,4437,3724,2511,2684,5706,5920,4830,5921,4955,5564,2942,5329,6704,2472,7114,9795,3644,6296,6467,7066,6886,5726,7814,4555,5487,7999,9509,9679,7732,7839,5869,7097,12337,11972,9027,11753,9113,7524,7165,11957,12683,13451,12486
Illinois,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,5,13,7,14,18,2,17,78,111,150,163,168,296,236,252,328,673,486,467,1105,460,938,986,715,1209,1453,902,1003,1291,1525,1344,1465,1293,1672,1173,1223,1345,1141,1844,1582,1197,1156,1546,2048,1830,2721,2119,2126,1980,2219,2256,2560,3137,2450,2994,2278,2112,2343,2639,2889,2325,1656,1266,4014,1673,3243,2432,2088,1734,2294,1545,2388,2270,2756,2352,2508,1713,1178,1111,1527,1622,1462,1343,974,1614,982,929,1156,975,867,658,797,625,766,595,673,672,473,623,546,593,692,634,658,462,601,715,894,857,786,646,738,724,828,869,868,862,639,614,1709,980,1018,1327,1195,954,883,707,1187,1257,1427,1276,965,1172,942,1611,1621,1600,1426,1541,1231,1074,1395,1772,1980,1639,1470,1298,1471,1759,1953,2103,2190,1382,1319,1549,1645,1834,2296,1828,1561,1773,1739,2296,1832,2293,2356,1893,1612,1681,2156,1707,2436,1880,1992,1666,1492,2128,1360,5594,2804,1413,1369,1392,1337,1953,2313,2120,1460,1372,1464,1943,2056,2223,2524,1402,1477,1533,1850,2256,2773,2441,1600,1709,1366,2272,2164,2456,2442,1453,1853,1617,2630,3094,3117,2905,2727,2740,2853,2866,4014,5106,3629,4245,3113,3713,4342,4941,5000,6161,4057,4729,4000,6110,6362,8489,7899,6980,6222,6516,7538,9935,11802,12438,10009,10573,12623,12657,12702,15415,11028,10631,11632,12601,8922,14612,13012
New Jersey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,10,8,6,20,20,3,104,74,147,344,149,437,587,930,831,727,2474,1949,2299,2262,3250,2060,3559,3335,4305,4229,3381,3585,3326,3021,3590,3561,3563,3699,2734,4240,2206,4287,3150,2953,3881,3421,3665,3527,4111,2171,3302,3540,2150,2668,2509,2287,2538,2527,3027,1525,2324,1297,2101,1849,1557,1357,1452,711,643,1144,1280,1105,1415,1736,1116,1420,810,993,561,1014,938,672,864,557,1659,764,837,473,627,523,462,806,557,271,333,299,550,470,348,441,276,222,323,277,404,389,338,308,273,319,158,304,388,289,309,90,395,261,428,386,291,369,209,267,161,231,358,331,339,224,393,363,223,50,263,-31,180,293,389,242,458,513,505,449,483,305,370,690,369,321,264,356,357,374,360,368,344,258,444,463,656,570,278,13,312,331,329,100,290,529,148,225,302,285,307,358,349,291,349,330,305,378,449,325,311,332,277,327,420,474,449,297,334,436,388,569,487,461,453,392,426,408,228,884,750,698,559,456,712,614,740,947,626,511,629,508,1298,865,864,751,469,988,938,971,810,934,909,1558,988,1030,1162,1045,1909,1129,1216,1647,1666,1550,1976,1363,1743,1368,1828,2432,1962,2161,3202,2013,2058,3777,3065,3491,3397,4353,4538,2219,4026,4043,4182,3626
Washington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,7,9,12,31,8,24,20,0,45,115,160,126,74,-39,176,176,67,352,150,269,204,224,107,263,616,270,553,435,458,509,176,781,457,401,578,486,381,584,363,480,315,175,26,164,143,115,460,259,202,136,278,204,157,224,342,202,165,156,228,257,310,366,182,277,132,311,326,157,286,217,231,208,182,261,178,337,145,178,200,160,146,148,0,563,237,116,225,358,307,278,353,275,180,327,245,264,449,287,312,313,0,425,392,367,296,324,373,253,408,409,624,455,190,516,483,498,488,549,348,501,571,611,716,627,469,651,1087,435,521,640,637,0,1438,1101,547,742,1267,754,959,920,797,832,672,762,815,1025,786,686,884,780,818,0,1738,632,542,664,705,833,670,936,549,575,504,551,637,800,746,576,260,542,426,700,390,816,417,359,334,456,542,598,578,441,315,304,438,479,479,501,399,310,0,464,458,544,465,350,312,327,347,386,404,597,349,182,463,509,536,988,604,439,369,404,480,594,694,609,455,402,387,545,710,642,475,0,0,1740,734,676,709,777,530,460,489,724,651,820,919,649,587,527,716,814,1016,928,814,1039,657,1469,1070,1691,1770,1320,1239,1441,0,3345,2142,2233,2309,1492,2589,1303,1987,2132
