Time,Alberta,PercentOfBaseline
3/16/2020,17,81.5
3/17/2020,18,85
3/18/2020,23,84.5
3/19/2020,22,85
3/20/2020,27,91
3/21/2020,49,76
3/22/2020,64,54.5
3/23/2020,42,75.5
3/24/2020,58,82.5
3/25/2020,-1,75
3/26/2020,128,69.5
3/27/2020,56,83
3/28/2020,0,59
3/29/2020,79,100
3/30/2020,40,67
3/31/2020,29,75.5
4/1/2020,64,77.5
4/2/2020,215,94.5
4/3/2020,0,72.5
4/4/2020,106,51
4/5/2020,106,65
4/6/2020,69,88
4/7/2020,123,93.5
4/8/2020,0,68
4/9/2020,50,69
4/10/2020,28,24
4/11/2020,116,38
4/12/2020,0,60
4/13/2020,165,60
4/14/2020,138,80
4/15/2020,0,65.5
4/16/2020,126,72.5
4/17/2020,401,67
4/18/2020,165,58
4/19/2020,241,84
4/20/2020,105,73
4/21/2020,187,100
4/22/2020,306,86
4/23/2020,319,56.5
4/24/2020,297,74.5
4/25/2020,216,56.5
4/26/2020,247,72
4/27/2020,216,82.5
4/28/2020,154,77.5
4/29/2020,315,76
4/30/2020,190,76.5
5/1/2020,218,68
5/2/2020,97,52
5/3/2020,96,100
5/4/2020,70,71
5/5/2020,57,88.5
5/6/2020,70,80
5/7/2020,54,81
5/8/2020,81,76.5
5/9/2020,59,71
5/10/2020,96,92
5/11/2020,47,77.5
5/12/2020,45,83.5
5/13/2020,62,72
5/14/2020,50,57.5
5/15/2020,58,75
5/16/2020,72,49
5/17/2020,57,64
5/18/2020,39,21
5/19/2020,33,83
5/20/2020,19,71
5/21/2020,33,61
5/22/2020,32,75
5/23/2020,18,63
5/24/2020,42,77
5/25/2020,19,81.5
5/26/2020,22,79
5/27/2020,25,82
5/28/2020,29,79
5/29/2020,24,62
5/30/2020,13,62
5/31/2020,18,83
6/1/2020,34,78.5
6/2/2020,13,74
6/3/2020,19,78.5
6/4/2020,15,73
6/5/2020,7,79
6/6/2020,40,65
6/7/2020,0,95
6/8/2020,64,84
6/9/2020,27,81.5
6/10/2020,47,69.5
6/11/2020,40,81.5
6/12/2020,30,78
6/13/2020,37,64
6/14/2020,50,100
6/15/2020,20,88
6/16/2020,29,74.5
6/17/2020,48,74
6/18/2020,49,77
6/19/2020,46,92
6/20/2020,48,69.5
6/21/2020,31,87
6/22/2020,32,87
6/23/2020,45,88
6/24/2020,44,88.5
6/25/2020,26,76
6/26/2020,37,89.5
6/27/2020,69,80
6/28/2020,39,66
6/29/2020,71,86
6/30/2020,41,72.5
7/1/2020,0,18
7/2/2020,94,75.5
7/3/2020,57,80
7/4/2020,0,90
7/5/2020,0,100
7/6/2020,130,97.5
7/7/2020,47,82.5
7/8/2020,46,90
7/9/2020,37,71.5
7/10/2020,77,90.5
7/11/2020,0,74
7/12/2020,0,100
7/13/2020,230,88
7/14/2020,86,88.5
7/15/2020,82,79
7/16/2020,120,93.5
7/17/2020,105,81.5
7/18/2020,0,77
7/19/2020,0,69
7/20/2020,368,99.5
7/21/2020,141,79
7/22/2020,0,94.5
7/23/2020,247,83
7/24/2020,111,81.5
7/25/2020,0,50.5
7/26/2020,0,78.5
7/27/2020,304,90
7/28/2020,80,96
7/29/2020,133,93
7/30/2020,113,90
7/31/2020,127,78.5
8/1/2020,0,59
8/2/2020,0,80.5
8/3/2020,0,20
8/4/2020,303,91
8/5/2020,94,93
8/6/2020,56,74.5
8/7/2020,134,86.5
8/8/2020,0,64.5
8/9/2020,0,100
8/10/2020,257,88
8/11/2020,85,95
8/12/2020,121,95
8/13/2020,76,84
8/14/2020,84,84
8/15/2020,0,86.5
8/16/2020,0,95.5
8/17/2020,0,100
8/18/2020,366,99
8/19/2020,82,92
8/20/2020,0,78.5
8/21/2020,247,89
8/22/2020,0,100
8/23/2020,0,78.5
8/24/2020,258,90.5
8/25/2020,77,88.5
8/26/2020,127,76.5
8/27/2020,108,93
8/28/2020,158,60
8/29/2020,0,85.5
8/30/2020,0,95.5
8/31/2020,426,67.5
9/1/2020,164,96
9/2/2020,114,92
9/3/2020,130,90
9/4/2020,164,50
9/5/2020,0,83.5
9/6/2020,0,16
9/7/2020,0,85
9/8/2020,619,92
9/9/2020,0,85.5
9/10/2020,211,79
9/11/2020,111,90
9/12/2020,0,95.5
9/13/2020,0,98.5
9/14/2020,418,96
9/15/2020,124,88
9/16/2020,171,79.5
9/17/2020,146,91
9/18/2020,107,83
9/19/2020,0,75.5
9/20/2020,0,84
9/21/2020,358,95
9/22/2020,150,84.5
9/23/2020,143,89
9/24/2020,158,87
9/25/2020,153,68.5
9/26/2020,0,93
9/27/2020,0,100
9/28/2020,406,90.5
9/29/2020,160,98
9/30/2020,153,98
10/1/2020,173,98
10/2/2020,122,94
10/3/2020,0,60.5
10/4/2020,0,100
10/5/2020,578,100
10/6/2020,276,81
10/7/2020,143,99
10/8/2020,364,89
10/9/2020,277,91.5
10/10/2020,0,96
10/11/2020,0,29.5
10/12/2020,0,99.5
10/13/2020,961,88
10/14/2020,243,93.5
10/15/2020,244,96.5
10/16/2020,332,
