Time,British Columbia,PercentOfBaseline
3/16/2020,30,100
3/17/2020,0,93
3/18/2020,83,97
3/19/2020,45,92
3/20/2020,40,94
3/21/2020,153,85
3/22/2020,0,89
3/23/2020,48,97
3/24/2020,145,82
3/25/2020,0,81
3/26/2020,108,81
3/27/2020,0,82
3/28/2020,159,71
3/29/2020,0,63
3/30/2020,86,89
3/31/2020,43,84
4/1/2020,0,86
4/2/2020,108,78
4/3/2020,53,80
4/4/2020,29,55
4/5/2020,0,54
4/6/2020,63,80
4/7/2020,0,69
4/8/2020,25,70
4/9/2020,45,75
4/10/2020,34,24
4/11/2020,75,29
4/12/2020,0,50
4/13/2020,45,72
4/14/2020,0,72
4/15/2020,27,72
4/16/2020,44,70
4/17/2020,14,73
4/18/2020,43,59
4/19/2020,29,61
4/20/2020,0,86
4/21/2020,77,77
4/22/2020,71,71
4/23/2020,29,72
4/24/2020,29,72
4/25/2020,95,55
4/26/2020,0,41
4/27/2020,50,79
4/28/2020,55,73
4/29/2020,34,70
4/30/2020,25,72
5/1/2020,33,74
5/2/2020,26,63
5/3/2020,0,49
5/4/2020,53,84
5/5/2020,8,76
5/6/2020,23,76
5/7/2020,33,82
5/8/2020,27,71
5/9/2020,15,59
5/10/2020,0,56
5/11/2020,23,85
5/12/2020,7,81
5/13/2020,16,79
5/14/2020,16,75
5/15/2020,15,68
5/16/2020,21,64
5/17/2020,0,49
5/18/2020,16,22
5/19/2020,2,62
5/20/2020,21,75
5/21/2020,12,78
5/22/2020,28,74
5/23/2020,10,61
5/24/2020,0,73
5/25/2020,13,83
5/26/2020,11,78
5/27/2020,9,77
5/28/2020,8,78
5/29/2020,4,82
5/30/2020,11,65
5/31/2020,0,65
6/1/2020,24,91
6/2/2020,4,85
6/3/2020,22,78
6/4/2020,9,83
6/5/2020,0,77
6/6/2020,0,58
6/7/2020,0,52
6/8/2020,27,91
6/9/2020,10,78
6/10/2020,11,84
6/11/2020,14,80
6/12/2020,15,79
6/13/2020,0,67
6/14/2020,0,57
6/15/2020,36,91
6/16/2020,11,89
6/17/2020,19,84
6/18/2020,8,89
6/19/2020,7,82
6/20/2020,0,68
6/21/2020,0,65
6/22/2020,32,94
6/23/2020,13,80
6/24/2020,14,83
6/25/2020,20,84
6/26/2020,9,81
6/27/2020,0,70
6/28/2020,0,59
6/29/2020,26,93
6/30/2020,12,88
7/1/2020,0,33
7/2/2020,24,65
7/3/2020,7,79
7/4/2020,0,71
7/5/2020,0,68
7/6/2020,31,99
7/7/2020,12,92
7/8/2020,18,80
7/9/2020,20,83
7/10/2020,25,82
7/11/2020,0,66
7/12/2020,0,75
7/13/2020,0,98
7/14/2020,75,89
7/15/2020,21,86
7/16/2020,21,91
7/17/2020,28,78
7/18/2020,0,67
7/19/2020,0,61
7/20/2020,102,92
7/21/2020,28,90
7/22/2020,0,86
7/23/2020,64,85
7/24/2020,0,85
7/25/2020,27,65
7/26/2020,0,65
7/27/2020,81,96
7/28/2020,23,81
7/29/2020,39,85
7/30/2020,29,86
7/31/2020,50,84
8/1/2020,0,66
8/2/2020,0,53
8/3/2020,0,18
8/4/2020,146,70
8/5/2020,47,86
8/6/2020,47,83
8/7/2020,53,84
8/8/2020,0,68
8/9/2020,0,77
8/10/2020,131,92
8/11/2020,46,89
8/12/2020,0,85
8/13/2020,163,87
8/14/2020,84,84
8/15/2020,0,69
8/16/2020,0,55
8/17/2020,0,85
8/18/2020,319,88
8/19/2020,68,89
8/20/2020,0,84
8/21/2020,170,69
8/22/2020,0,56
8/23/2020,0,88
8/24/2020,269,87
8/25/2020,58,87
8/26/2020,62,86
8/27/2020,68,83
8/28/2020,124,70
8/29/2020,0,60
8/30/2020,0,84
8/31/2020,294,89
9/1/2020,58,87
9/2/2020,104,91
9/3/2020,89,84
9/4/2020,121,75
9/5/2020,0,45
9/6/2020,0,20
9/7/2020,0,72
9/8/2020,429,87
9/9/2020,0,87
9/10/2020,239,89
9/11/2020,132,78
9/12/2020,0,63
9/13/2020,0,90
9/14/2020,317,83
9/15/2020,97,85
9/16/2020,122,88
9/17/2020,165,87
9/18/2020,179,70
9/19/2020,0,60
9/20/2020,0,92
9/21/2020,366,87
9/22/2020,96,87
9/23/2020,91,89
9/24/2020,0,88
9/25/2020,246,70
9/26/2020,0,56
9/27/2020,0,91
9/28/2020,267,86
9/29/2020,105,87
9/30/2020,125,93
10/1/2020,82,87
10/2/2020,161,66
10/3/2020,0,63
10/4/2020,0,92
10/5/2020,358,93
10/6/2020,102,86
10/7/2020,115,90
10/8/2020,110,82
10/9/2020,119,72
10/10/2020,0,55
10/11/2020,0,21
10/12/2020,0,68
10/13/2020,549,90
10/14/2020,158,91
10/15/2020,142,91
10/16/2020,155,
