Time,Florida,PercentOfBaseline
3/16/2020,1,98
3/17/2020,89,90
3/18/2020,116,82
3/19/2020,126,75
3/20/2020,132,80
3/21/2020,199,56
3/22/2020,241,62
3/23/2020,223,71
3/24/2020,185,69
3/25/2020,270,72
3/26/2020,675,62
3/27/2020,543,77
3/28/2020,863,54
3/29/2020,483,52
3/30/2020,1227,62
3/31/2020,1268,68
4/1/2020,215,68
4/2/2020,2052,57
4/3/2020,1260,66
4/4/2020,1269,59
4/5/2020,813,45
4/6/2020,974,59
4/7/2020,1221,67
4/8/2020,911,64
4/9/2020,908,67
4/10/2020,1167,56
4/11/2020,963,48
4/12/2020,1401,40
4/13/2020,1124,55
4/14/2020,609,70
4/15/2020,883,63
4/16/2020,832,63
4/17/2020,1416,69
4/18/2020,733,60
4/19/2020,822,64
4/20/2020,745,66
4/21/2020,810,72
4/22/2020,440,73
4/23/2020,1339,62
4/24/2020,885,68
4/25/2020,306,72
4/26/2020,693,81
4/27/2020,606,75
4/28/2020,710,81
4/29/2020,345,83
4/30/2020,497,81
5/1/2020,1038,86
5/2/2020,735,89
5/3/2020,615,83
5/4/2020,819,75
5/5/2020,542,81
5/6/2020,563,71
5/7/2020,826,70
5/8/2020,371,66
5/9/2020,802,51
5/10/2020,595,65
5/11/2020,386,64
5/12/2020,941,74
5/13/2020,479,72
5/14/2020,808,74
5/15/2020,928,68
5/16/2020,673,66
5/17/2020,777,57
5/18/2020,854,67
5/19/2020,502,74
5/20/2020,527,77
5/21/2020,1204,74
5/22/2020,776,74
5/23/2020,676,64
5/24/2020,740,58
5/25/2020,879,19
5/26/2020,509,75
5/27/2020,379,70
5/28/2020,651,72
5/29/2020,1212,81
5/30/2020,927,64
5/31/2020,739,59
6/1/2020,667,83
6/2/2020,617,83
6/3/2020,1317,91
6/4/2020,1419,83
6/5/2020,1305,86
6/6/2020,1270,76
6/7/2020,1180,98
6/8/2020,966,82
6/9/2020,1096,85
6/10/2020,1371,81
6/11/2020,1698,77
6/12/2020,1902,82
6/13/2020,2581,61
6/14/2020,2016,62
6/15/2020,1758,72
6/16/2020,2783,80
6/17/2020,2610,80
6/18/2020,3207,79
6/19/2020,3822,77
6/20/2020,4049,74
6/21/2020,3494,60
6/22/2020,2926,76
6/23/2020,3286,92
6/24/2020,5511,85
6/25/2020,5004,80
6/26/2020,8942,85
6/27/2020,9585,72
6/28/2020,8530,66
6/29/2020,5266,76
6/30/2020,6093,87
7/1/2020,6563,86
7/2/2020,10109,84
7/3/2020,9488,54
7/4/2020,11458,43
7/5/2020,10059,47
7/6/2020,6336,70
7/7/2020,7347,83
7/8/2020,9989,80
7/9/2020,8935,76
7/10/2020,11433,79
7/11/2020,10360,71
7/12/2020,15300,76
7/13/2020,12624,74
7/14/2020,9194,74
7/15/2020,10181,83
7/16/2020,13965,87
7/17/2020,11466,90
7/18/2020,10328,71
7/19/2020,12478,79
7/20/2020,10347,81
7/21/2020,9440,92
7/22/2020,9785,88
7/23/2020,10249,72
7/24/2020,12444,78
7/25/2020,12199,67
7/26/2020,9344,76
7/27/2020,8892,73
7/28/2020,9230,84
7/29/2020,9446,70
7/30/2020,9956,69
7/31/2020,9007,82
8/1/2020,9642,55
8/2/2020,7104,66
8/3/2020,4752,74
8/4/2020,5446,72
8/5/2020,5409,70
8/6/2020,7650,70
8/7/2020,7686,76
8/8/2020,8502,51
8/9/2020,6229,63
8/10/2020,4155,62
8/11/2020,5831,79
8/12/2020,8109,75
8/13/2020,6236,70
8/14/2020,6148,73
8/15/2020,6352,44
8/16/2020,3779,60
8/17/2020,2678,73
8/18/2020,3838,71
8/19/2020,4115,70
8/20/2020,4555,75
8/21/2020,4684,45
8/22/2020,4311,78
8/23/2020,2974,72
8/24/2020,2258,81
8/25/2020,2673,76
8/26/2020,3220,78
8/27/2020,3269,85
8/28/2020,3815,67
8/29/2020,3197,64
8/30/2020,2583,69
8/31/2020,1885,79
9/1/2020,7569,76
9/2/2020,2402,79
9/3/2020,3571,72
9/4/2020,3198,49
9/5/2020,3656,62
9/6/2020,2564,31
9/7/2020,1838,70
9/8/2020,1823,70
9/9/2020,2167,67
9/10/2020,2472,73
9/11/2020,3650,48
9/12/2020,3190,73
9/13/2020,2423,69
9/14/2020,1736,79
9/15/2020,3116,77
9/16/2020,2355,73
9/17/2020,3255,77
9/18/2020,3204,52
9/19/2020,3573,60
9/20/2020,2521,76
9/21/2020,1685,73
9/22/2020,2470,73
9/23/2020,2590,66
9/24/2020,2541,74
9/25/2020,2847,55
9/26/2020,2795,52
9/27/2020,1882,80
9/28/2020,738,78
9/29/2020,3266,67
9/30/2020,1948,59
10/1/2020,2628,66
10/2/2020,2660,41
10/3/2020,2787,53
10/4/2020,1868,78
10/5/2020,1415,72
10/6/2020,2251,71
10/7/2020,2582,64
10/8/2020,3306,75
10/9/2020,2908,53
10/10/2020,0,54
10/11/2020,5570,83
10/12/2020,1533,74
10/13/2020,2725,74
10/14/2020,2883,73
10/15/2020,3356,76
10/16/2020,3449,
