Time,Illinois,PercentOfBaseline
3/16/2020,17,94
3/17/2020,78,90
3/18/2020,111,88
3/19/2020,150,83
3/20/2020,163,82
3/21/2020,168,83
3/22/2020,296,70
3/23/2020,236,75
3/24/2020,252,78
3/25/2020,328,79
3/26/2020,673,73
3/27/2020,486,73
3/28/2020,467,68
3/29/2020,1105,61
3/30/2020,460,71
3/31/2020,938,77
4/1/2020,986,72
4/2/2020,715,74
4/3/2020,1209,68
4/4/2020,1453,61
4/5/2020,902,41
4/6/2020,1003,70
4/7/2020,1291,70
4/8/2020,1525,72
4/9/2020,1344,71
4/10/2020,1465,66
4/11/2020,1293,67
4/12/2020,1672,40
4/13/2020,1173,66
4/14/2020,1223,71
4/15/2020,1345,72
4/16/2020,1141,68
4/17/2020,1844,64
4/18/2020,1582,62
4/19/2020,1197,48
4/20/2020,1156,72
4/21/2020,1546,71
4/22/2020,2048,70
4/23/2020,1830,67
4/24/2020,2721,65
4/25/2020,2119,61
4/26/2020,2126,51
4/27/2020,1980,69
4/28/2020,2219,74
4/29/2020,2256,69
4/30/2020,2560,70
5/1/2020,3137,73
5/2/2020,2450,64
5/3/2020,2994,53
5/4/2020,2278,74
5/5/2020,2112,72
5/6/2020,2343,77
5/7/2020,2639,67
5/8/2020,2889,70
5/9/2020,2325,62
5/10/2020,1656,48
5/11/2020,1266,68
5/12/2020,4014,74
5/13/2020,1673,75
5/14/2020,3243,71
5/15/2020,2432,72
5/16/2020,2088,73
5/17/2020,1734,62
5/18/2020,2294,72
5/19/2020,1545,82
5/20/2020,2388,75
5/21/2020,2270,77
5/22/2020,2756,72
5/23/2020,2352,78
5/24/2020,2508,58
5/25/2020,1713,25
5/26/2020,1178,67
5/27/2020,1111,75
5/28/2020,1527,80
5/29/2020,1622,79
5/30/2020,1462,74
5/31/2020,1343,74
6/1/2020,974,69
6/2/2020,1614,76
6/3/2020,982,78
6/4/2020,929,82
6/5/2020,1156,82
6/6/2020,975,83
6/7/2020,867,61
6/8/2020,658,78
6/9/2020,797,80
6/10/2020,625,79
6/11/2020,766,80
6/12/2020,595,76
6/13/2020,673,72
6/14/2020,672,66
6/15/2020,473,83
6/16/2020,623,76
6/17/2020,546,79
6/18/2020,593,81
6/19/2020,692,79
6/20/2020,634,61
6/21/2020,658,58
6/22/2020,462,72
6/23/2020,601,87
6/24/2020,715,82
6/25/2020,894,85
6/26/2020,857,71
6/27/2020,786,72
6/28/2020,646,64
6/29/2020,738,78
6/30/2020,724,82
7/1/2020,828,78
7/2/2020,869,75
7/3/2020,868,44
7/4/2020,862,37
7/5/2020,639,54
7/6/2020,614,73
7/7/2020,1709,81
7/8/2020,980,81
7/9/2020,1018,77
7/10/2020,1327,75
7/11/2020,1195,73
7/12/2020,954,58
7/13/2020,883,76
7/14/2020,707,77
7/15/2020,1187,73
7/16/2020,1257,74
7/17/2020,1427,69
7/18/2020,1276,77
7/19/2020,965,66
7/20/2020,1172,75
7/21/2020,942,84
7/22/2020,1611,75
7/23/2020,1621,81
7/24/2020,1600,73
7/25/2020,1426,73
7/26/2020,1541,58
7/27/2020,1231,72
7/28/2020,1074,77
7/29/2020,1395,83
7/30/2020,1772,81
7/31/2020,1980,78
8/1/2020,1639,74
8/2/2020,1470,61
8/3/2020,1298,74
8/4/2020,1471,79
8/5/2020,1759,78
8/6/2020,1953,80
8/7/2020,2103,72
8/8/2020,2190,72
8/9/2020,1382,61
8/10/2020,1319,72
8/11/2020,1549,77
8/12/2020,1645,81
8/13/2020,1834,81
8/14/2020,2296,77
8/15/2020,1828,68
8/16/2020,1561,68
8/17/2020,1773,79
8/18/2020,1739,77
8/19/2020,2296,81
8/20/2020,1832,77
8/21/2020,2293,72
8/22/2020,2356,75
8/23/2020,1893,82
8/24/2020,1612,75
8/25/2020,1681,83
8/26/2020,2156,79
8/27/2020,1707,80
8/28/2020,2436,74
8/29/2020,1880,62
8/30/2020,1992,73
8/31/2020,1666,71
9/1/2020,1492,73
9/2/2020,2128,72
9/3/2020,1360,67
9/4/2020,5594,71
9/5/2020,2804,51
9/6/2020,1413,21
9/7/2020,1369,62
9/8/2020,1392,81
9/9/2020,1337,70
9/10/2020,1953,69
9/11/2020,2313,68
9/12/2020,2120,66
9/13/2020,1460,78
9/14/2020,1372,75
9/15/2020,1464,77
9/16/2020,1943,78
9/17/2020,2056,75
9/18/2020,2223,77
9/19/2020,2524,62
9/20/2020,1402,81
9/21/2020,1477,83
9/22/2020,1533,83
9/23/2020,1850,81
9/24/2020,2256,76
9/25/2020,2773,67
9/26/2020,2441,64
9/27/2020,1600,81
9/28/2020,1709,87
9/29/2020,1366,84
9/30/2020,2272,86
10/1/2020,2164,76
10/2/2020,2456,72
10/3/2020,2442,60
10/4/2020,1453,75
10/5/2020,1853,77
10/6/2020,1617,81
10/7/2020,2630,76
10/8/2020,3094,78
10/9/2020,3117,63
10/10/2020,2905,57
10/11/2020,2727,68
10/12/2020,2740,80
10/13/2020,2853,83
10/14/2020,2866,84
10/15/2020,4014,78
10/16/2020,5106,
