Date,PercentOfBaseline,State
3/16/2020,92,New South Wales
3/16/2020,96,Santiago Province
3/16/2020,100,Alberta
3/16/2020,63,Alberta
3/16/2020,100,British Columbia
3/16/2020,100,Manitoba
3/16/2020,72,Nova Scotia
3/16/2020,100,Ontario
3/16/2020,96,Ontario
3/16/2020,100,Quebec
3/16/2020,100,Quebec
3/16/2020,98,California
3/16/2020,81,California
3/16/2020,94,Colorado
3/16/2020,98,Florida
3/16/2020,92,Georgia
3/16/2020,95,Hawaii
3/16/2020,94,Illinois
3/16/2020,97,Massachusetts
3/16/2020,73,Michigan
3/16/2020,91,North Carolina
3/16/2020,100,New Jersey
3/16/2020,68,Nevada
3/16/2020,95,New York
3/16/2020,70,New York
3/16/2020,82,Texas
3/16/2020,89,Virginia
3/16/2020,80,Washington
3/17/2020,90,New South Wales
3/17/2020,72,Santiago Province
3/17/2020,100,Alberta
3/17/2020,70,Alberta
3/17/2020,93,British Columbia
3/17/2020,91,Manitoba
3/17/2020,56,Nova Scotia
3/17/2020,89,Ontario
3/17/2020,94,Ontario
3/17/2020,100,Quebec
3/17/2020,98,Quebec
3/17/2020,99,California
3/17/2020,89,California
3/17/2020,88,Colorado
3/17/2020,90,Florida
3/17/2020,87,Georgia
3/17/2020,95,Hawaii
3/17/2020,90,Illinois
3/17/2020,94,Massachusetts
3/17/2020,84,Michigan
3/17/2020,90,North Carolina
3/17/2020,100,New Jersey
3/17/2020,67,Nevada
3/17/2020,88,New York
3/17/2020,65,New York
3/17/2020,88,Texas
3/17/2020,94,Virginia
3/17/2020,85,Washington
3/18/2020,97,New South Wales
3/18/2020,56,Santiago Province
3/18/2020,94,Alberta
3/18/2020,75,Alberta
3/18/2020,97,British Columbia
3/18/2020,100,Manitoba
3/18/2020,47,Nova Scotia
3/18/2020,81,Ontario
3/18/2020,100,Ontario
3/18/2020,100,Quebec
3/18/2020,98,Quebec
3/18/2020,89,California
3/18/2020,70,California
3/18/2020,81,Colorado
3/18/2020,82,Florida
3/18/2020,90,Georgia
3/18/2020,90,Hawaii
3/18/2020,88,Illinois
3/18/2020,93,Massachusetts
3/18/2020,71,Michigan
3/18/2020,76,North Carolina
3/18/2020,100,New Jersey
3/18/2020,63,Nevada
3/18/2020,78,New York
3/18/2020,64,New York
3/18/2020,77,Texas
3/18/2020,85,Virginia
3/18/2020,92,Washington
3/19/2020,89,New South Wales
3/19/2020,52,Santiago Province
3/19/2020,96,Alberta
3/19/2020,74,Alberta
3/19/2020,92,British Columbia
3/19/2020,99,Manitoba
3/19/2020,38,Nova Scotia
3/19/2020,82,Ontario
3/19/2020,87,Ontario
3/19/2020,100,Quebec
3/19/2020,95,Quebec
3/19/2020,88,California
3/19/2020,59,California
3/19/2020,59,Colorado
3/19/2020,75,Florida
3/19/2020,89,Georgia
3/19/2020,93,Hawaii
3/19/2020,83,Illinois
3/19/2020,80,Massachusetts
3/19/2020,66,Michigan
3/19/2020,77,North Carolina
3/19/2020,92,New Jersey
3/19/2020,44,Nevada
3/19/2020,69,New York
3/19/2020,58,New York
3/19/2020,73,Texas
3/19/2020,71,Virginia
3/19/2020,78,Washington
3/20/2020,85,New South Wales
3/20/2020,53,Santiago Province
3/20/2020,96,Alberta
3/20/2020,86,Alberta
3/20/2020,94,British Columbia
3/20/2020,98,Manitoba
3/20/2020,42,Nova Scotia
3/20/2020,75,Ontario
3/20/2020,90,Ontario
3/20/2020,100,Quebec
3/20/2020,99,Quebec
3/20/2020,84,California
3/20/2020,58,California
3/20/2020,60,Colorado
3/20/2020,80,Florida
3/20/2020,76,Georgia
3/20/2020,86,Hawaii
3/20/2020,82,Illinois
3/20/2020,89,Massachusetts
3/20/2020,73,Michigan
3/20/2020,80,North Carolina
3/20/2020,93,New Jersey
3/20/2020,39,Nevada
3/20/2020,67,New York
3/20/2020,58,New York
3/20/2020,71,Texas
3/20/2020,75,Virginia
3/20/2020,71,Washington
3/21/2020,100,New South Wales
3/21/2020,38,Santiago Province
3/21/2020,73,Alberta
3/21/2020,79,Alberta
3/21/2020,85,British Columbia
3/21/2020,81,Manitoba
3/21/2020,38,Nova Scotia
3/21/2020,66,Ontario
3/21/2020,99,Ontario
3/21/2020,61,Quebec
3/21/2020,79,Quebec
3/21/2020,76,California
3/21/2020,70,California
3/21/2020,74,Colorado
3/21/2020,56,Florida
3/21/2020,85,Georgia
3/21/2020,94,Hawaii
3/21/2020,83,Illinois
3/21/2020,90,Massachusetts
3/21/2020,73,Michigan
3/21/2020,73,North Carolina
3/21/2020,78,New Jersey
3/21/2020,23,Nevada
3/21/2020,66,New York
3/21/2020,73,New York
3/21/2020,71,Texas
3/21/2020,71,Virginia
3/21/2020,71,Washington
3/22/2020,89,New South Wales
3/22/2020,13,Santiago Province
3/22/2020,58,Alberta
3/22/2020,51,Alberta
3/22/2020,89,British Columbia
3/22/2020,85,Manitoba
3/22/2020,26,Nova Scotia
3/22/2020,64,Ontario
3/22/2020,52,Ontario
3/22/2020,88,Quebec
3/22/2020,86,Quebec
3/22/2020,76,California
3/22/2020,84,California
3/22/2020,54,Colorado
3/22/2020,62,Florida
3/22/2020,93,Georgia
3/22/2020,100,Hawaii
3/22/2020,70,Illinois
3/22/2020,89,Massachusetts
3/22/2020,60,Michigan
3/22/2020,86,North Carolina
3/22/2020,93,New Jersey
3/22/2020,18,Nevada
3/22/2020,60,New York
3/22/2020,71,New York
3/22/2020,63,Texas
3/22/2020,68,Virginia
3/22/2020,69,Washington
3/23/2020,84,New South Wales
3/23/2020,32,Santiago Province
3/23/2020,100,Alberta
3/23/2020,51,Alberta
3/23/2020,97,British Columbia
3/23/2020,100,Manitoba
3/23/2020,54,Nova Scotia
3/23/2020,74,Ontario
3/23/2020,100,Ontario
3/23/2020,100,Quebec
3/23/2020,89,Quebec
3/23/2020,73,California
3/23/2020,57,California
3/23/2020,67,Colorado
3/23/2020,71,Florida
3/23/2020,78,Georgia
3/23/2020,98,Hawaii
3/23/2020,75,Illinois
3/23/2020,78,Massachusetts
3/23/2020,57,Michigan
3/23/2020,72,North Carolina
3/23/2020,77,New Jersey
3/23/2020,53,Nevada
3/23/2020,66,New York
3/23/2020,50,New York
3/23/2020,79,Texas
3/23/2020,65,Virginia
3/23/2020,64,Washington
3/24/2020,89,New South Wales
3/24/2020,29,Santiago Province
3/24/2020,99,Alberta
3/24/2020,66,Alberta
3/24/2020,82,British Columbia
3/24/2020,100,Manitoba
3/24/2020,45,Nova Scotia
3/24/2020,73,Ontario
3/24/2020,94,Ontario
3/24/2020,89,Quebec
3/24/2020,87,Quebec
3/24/2020,71,California
3/24/2020,61,California
3/24/2020,68,Colorado
3/24/2020,69,Florida
3/24/2020,84,Georgia
3/24/2020,97,Hawaii
3/24/2020,78,Illinois
3/24/2020,79,Massachusetts
3/24/2020,65,Michigan
3/24/2020,78,North Carolina
3/24/2020,77,New Jersey
3/24/2020,39,Nevada
3/24/2020,67,New York
3/24/2020,56,New York
3/24/2020,75,Texas
3/24/2020,57,Virginia
3/24/2020,64,Washington
3/25/2020,84,New South Wales
3/25/2020,26,Santiago Province
3/25/2020,91,Alberta
3/25/2020,59,Alberta
3/25/2020,81,British Columbia
3/25/2020,100,Manitoba
3/25/2020,42,Nova Scotia
3/25/2020,65,Ontario
3/25/2020,95,Ontario
3/25/2020,50,Quebec
3/25/2020,79,Quebec
3/25/2020,72,California
3/25/2020,54,California
3/25/2020,67,Colorado
3/25/2020,72,Florida
3/25/2020,74,Georgia
3/25/2020,98,Hawaii
3/25/2020,79,Illinois
3/25/2020,82,Massachusetts
3/25/2020,62,Michigan
3/25/2020,71,North Carolina
3/25/2020,70,New Jersey
3/25/2020,44,Nevada
3/25/2020,68,New York
3/25/2020,52,New York
3/25/2020,74,Texas
3/25/2020,59,Virginia
3/25/2020,69,Washington
3/26/2020,76,New South Wales
3/26/2020,24,Santiago Province
3/26/2020,91,Alberta
3/26/2020,48,Alberta
3/26/2020,81,British Columbia
3/26/2020,100,Manitoba
3/26/2020,37,Nova Scotia
3/26/2020,58,Ontario
3/26/2020,93,Ontario
3/26/2020,54,Quebec
3/26/2020,78,Quebec
3/26/2020,76,California
3/26/2020,50,California
3/26/2020,65,Colorado
3/26/2020,62,Florida
3/26/2020,74,Georgia
3/26/2020,94,Hawaii
3/26/2020,73,Illinois
3/26/2020,76,Massachusetts
3/26/2020,54,Michigan
3/26/2020,66,North Carolina
3/26/2020,61,New Jersey
3/26/2020,40,Nevada
3/26/2020,56,New York
3/26/2020,46,New York
3/26/2020,69,Texas
3/26/2020,53,Virginia
3/26/2020,70,Washington
3/27/2020,81,New South Wales
3/27/2020,31,Santiago Province
3/27/2020,89,Alberta
3/27/2020,77,Alberta
3/27/2020,82,British Columbia
3/27/2020,100,Manitoba
3/27/2020,59,Nova Scotia
3/27/2020,57,Ontario
3/27/2020,88,Ontario
3/27/2020,57,Quebec
3/27/2020,74,Quebec
3/27/2020,69,California
3/27/2020,48,California
3/27/2020,66,Colorado
3/27/2020,77,Florida
3/27/2020,70,Georgia
3/27/2020,99,Hawaii
3/27/2020,73,Illinois
3/27/2020,72,Massachusetts
3/27/2020,52,Michigan
3/27/2020,59,North Carolina
3/27/2020,66,New Jersey
3/27/2020,31,Nevada
3/27/2020,64,New York
3/27/2020,49,New York
3/27/2020,76,Texas
3/27/2020,57,Virginia
3/27/2020,67,Washington
3/28/2020,62,New South Wales
3/28/2020,72,Alberta
3/28/2020,46,Alberta
3/28/2020,71,British Columbia
3/28/2020,92,Manitoba
3/28/2020,44,Nova Scotia
3/28/2020,38,Ontario
3/28/2020,73,Ontario
3/28/2020,57,Quebec
3/28/2020,51,Quebec
3/28/2020,66,California
3/28/2020,55,California
3/28/2020,60,Colorado
3/28/2020,54,Florida
3/28/2020,77,Georgia
3/28/2020,99,Hawaii
3/28/2020,68,Illinois
3/28/2020,70,Massachusetts
