Time,Manitoba,PercentOfBaseline
3/16/2020,3,100
3/17/2020,1,91
3/18/2020,7,100
3/19/2020,2,99
3/20/2020,0,98
3/21/2020,1,81
3/22/2020,2,85
3/23/2020,0,100
3/24/2020,1,100
3/25/2020,14,100
3/26/2020,1,100
3/27/2020,3,100
3/28/2020,25,92
3/29/2020,8,73
3/30/2020,24,100
3/31/2020,7,97
4/1/2020,24,94
4/2/2020,40,81
4/3/2020,15,76
4/4/2020,0,80
4/5/2020,21,54
4/6/2020,0,100
4/7/2020,14,100
4/8/2020,0,93
4/9/2020,4,94
4/10/2020,9,14
4/11/2020,13,29
4/12/2020,-1,52
4/13/2020,4,100
4/14/2020,0,100
4/15/2020,0,94
4/16/2020,4,89
4/17/2020,0,87
4/18/2020,3,100
4/19/2020,1,71
4/20/2020,0,100
4/21/2020,1,89
4/22/2020,2,98
4/23/2020,5,89
4/24/2020,1,86
4/25/2020,4,100
4/26/2020,4,99
4/27/2020,2,100
4/28/2020,0,96
4/29/2020,2,100
4/30/2020,2,87
5/1/2020,4,88
5/2/2020,1,100
5/3/2020,0,100
5/4/2020,1,100
5/5/2020,1,97
5/6/2020,2,95
5/7/2020,-3,96
5/8/2020,1,89
5/9/2020,0,100
5/10/2020,3,100
5/11/2020,2,100
5/12/2020,1,100
5/13/2020,0,100
5/14/2020,-1,88
5/15/2020,0,94
5/16/2020,0,100
5/17/2020,0,54
5/18/2020,1,9
5/19/2020,0,93
5/20/2020,0,100
5/21/2020,0,95
5/22/2020,2,100
5/23/2020,0,100
5/24/2020,0,71
5/25/2020,0,100
5/26/2020,0,100
5/27/2020,0,100
5/28/2020,2,94
5/29/2020,0,97
5/30/2020,0,100
5/31/2020,1,99
6/1/2020,0,100
6/2/2020,2,92
6/3/2020,1,91
6/4/2020,0,97
6/5/2020,2,87
6/6/2020,0,100
6/7/2020,0,100
6/8/2020,0,100
6/9/2020,0,96
6/10/2020,0,94
6/11/2020,0,87
6/12/2020,1,94
6/13/2020,2,100
6/14/2020,1,99
6/15/2020,0,100
6/16/2020,0,100
6/17/2020,2,93
6/18/2020,2,99
6/19/2020,3,90
6/20/2020,2,100
6/21/2020,0,83
6/22/2020,1,100
6/23/2020,0,94
6/24/2020,1,99
6/25/2020,1,96
6/26/2020,2,100
6/27/2020,4,94
6/28/2020,0,100
6/29/2020,2,100
6/30/2020,1,100
7/1/2020,0,15
7/2/2020,0,82
7/3/2020,0,88
7/4/2020,0,100
7/5/2020,0,100
7/6/2020,0,100
7/7/2020,0,100
7/8/2020,0,97
7/9/2020,0,98
7/10/2020,0,88
7/11/2020,0,100
7/12/2020,0,69
7/13/2020,0,100
7/14/2020,5,100
7/15/2020,0,100
7/16/2020,1,95
7/17/2020,5,100
7/18/2020,1,100
7/19/2020,6,91
7/20/2020,11,100
7/21/2020,12,100
7/22/2020,8,89
7/23/2020,1,91
7/24/2020,9,96
7/25/2020,4,87
7/26/2020,6,81
7/27/2020,6,100
7/28/2020,5,100
7/29/2020,2,89
7/30/2020,2,86
7/31/2020,6,97
8/1/2020,2,93
8/2/2020,18,89
8/3/2020,7,15
8/4/2020,1,82
8/5/2020,1,92
8/6/2020,30,90
8/7/2020,17,89
8/8/2020,16,75
8/9/2020,35,61
8/10/2020,16,100
8/11/2020,4,97
8/12/2020,16,95
8/13/2020,25,89
8/14/2020,40,96
8/15/2020,20,72
8/16/2020,34,95
8/17/2020,34,97
8/18/2020,17,100
8/19/2020,15,92
8/20/2020,33,91
8/21/2020,34,78
8/22/2020,42,85
8/23/2020,72,100
8/24/2020,49,100
8/25/2020,25,92
8/26/2020,25,90
8/27/2020,21,92
8/28/2020,32,91
8/29/2020,59,59
8/30/2020,31,100
8/31/2020,28,100
9/1/2020,18,94
9/2/2020,12,90
9/3/2020,20,94
9/4/2020,9,74
9/5/2020,21,50
9/6/2020,29,8
9/7/2020,15,86
9/8/2020,11,100
9/9/2020,16,100
9/10/2020,13,100
9/11/2020,15,72
9/12/2020,17,67
9/13/2020,18,100
9/14/2020,21,100
9/15/2020,17,98
9/16/2020,23,100
9/17/2020,11,100
9/18/2020,40,60
9/19/2020,18,61
9/20/2020,28,100
9/21/2020,22,100
9/22/2020,24,100
9/23/2020,42,100
9/24/2020,37,100
9/25/2020,53,69
9/26/2020,65,63
9/27/2020,51,100
9/28/2020,39,100
9/29/2020,34,100
9/30/2020,40,100
10/1/2020,36,100
10/2/2020,43,67
10/3/2020,36,61
10/4/2020,32,100
10/5/2020,51,100
10/6/2020,55,100
10/7/2020,32,100
10/8/2020,66,100
10/9/2020,84,61
10/10/2020,96,54
10/11/2020,54,10
10/12/2020,77,100
10/13/2020,124,100
10/14/2020,146,100
10/15/2020,173,100
10/16/2020,75,100
