Time,Michigan,PercentOfBaseline
3/16/2020,31,73
3/17/2020,14,84
3/18/2020,69,71
3/19/2020,155,66
3/20/2020,157,73
3/21/2020,154,73
3/22/2020,506,60
3/23/2020,323,57
3/24/2020,488,65
3/25/2020,526,62
3/26/2020,564,54
3/27/2020,816,52
3/28/2020,1042,48
3/29/2020,863,45
3/30/2020,1050,46
3/31/2020,1148,52
4/1/2020,1766,52
4/2/2020,1513,48
4/3/2020,1991,49
4/4/2020,1514,51
4/5/2020,1533,48
4/6/2020,1552,39
4/7/2020,1824,54
4/8/2020,1432,49
4/9/2020,1221,47
4/10/2020,982,46
4/11/2020,1221,54
4/12/2020,683,50
4/13/2020,1439,44
4/14/2020,1420,49
4/15/2020,1102,46
4/16/2020,822,50
4/17/2020,1259,45
4/18/2020,806,53
4/19/2020,657,48
4/20/2020,636,47
4/21/2020,724,49
4/22/2020,1356,52
4/23/2020,1441,48
4/24/2020,1485,45
4/25/2020,459,38
4/26/2020,751,31
4/27/2020,494,32
4/28/2020,1132,46
4/29/2020,1213,46
4/30/2020,1099,40
5/1/2020,1046,45
5/2/2020,900,41
5/3/2020,623,35
5/4/2020,301,39
5/5/2020,566,44
5/6/2020,824,43
5/7/2020,674,38
5/8/2020,758,42
5/9/2020,506,45
5/10/2020,410,31
5/11/2020,545,33
5/12/2020,632,41
5/13/2020,556,35
5/14/2020,1348,34
5/15/2020,643,31
5/16/2020,505,31
5/17/2020,648,27
5/18/2020,892,36
5/19/2020,610,39
5/20/2020,857,43
5/21/2020,666,42
5/22/2020,555,45
5/23/2020,503,39
5/24/2020,349,32
5/25/2020,226,22
5/26/2020,353,48
5/27/2020,618,52
5/28/2020,524,47
5/29/2020,717,44
5/30/2020,392,37
5/31/2020,486,34
6/1/2020,217,45
6/2/2020,312,50
6/3/2020,417,47
6/4/2020,322,47
6/5/2020,842,44
6/6/2020,93,40
6/7/2020,55,37
6/8/2020,135,42
6/9/2020,63,44
6/10/2020,15,48
6/11/2020,267,46
6/12/2020,223,48
6/13/2020,164,43
6/14/2020,218,35
6/15/2020,31,46
6/16/2020,184,48
6/17/2020,228,43
6/18/2020,301,45
6/19/2020,299,45
6/20/2020,448,40
6/21/2020,166,29
6/22/2020,246,41
6/23/2020,240,54
6/24/2020,358,49
6/25/2020,434,46
6/26/2020,340,52
6/27/2020,350,40
6/28/2020,267,37
6/29/2020,277,44
6/30/2020,505,55
7/1/2020,361,55
7/2/2020,589,56
7/3/2020,497,44
7/4/2020,406,34
7/5/2020,360,37
7/6/2020,326,52
7/7/2020,633,51
7/8/2020,651,52
7/9/2020,512,48
7/10/2020,622,42
7/11/2020,685,39
7/12/2020,406,31
7/13/2020,422,45
7/14/2020,666,57
7/15/2020,1049,45
7/16/2020,926,46
7/17/2020,754,52
7/18/2020,745,34
7/19/2020,530,40
7/20/2020,527,45
7/21/2020,664,55
7/22/2020,671,48
7/23/2020,701,42
7/24/2020,641,53
7/25/2020,550,45
7/26/2020,1039,37
7/27/2020,512,49
7/28/2020,785,49
7/29/2020,1016,55
7/30/2020,807,47
7/31/2020,793,43
8/1/2020,758,39
8/2/2020,426,40
8/3/2020,616,43
8/4/2020,801,49
8/5/2020,718,50
8/6/2020,763,44
8/7/2020,814,50
8/8/2020,721,47
8/9/2020,535,35
8/10/2020,580,45
8/11/2020,907,47
8/12/2020,476,42
8/13/2020,1167,55
8/14/2020,868,43
8/15/2020,1058,52
8/16/2020,477,40
8/17/2020,490,57
8/18/2020,653,49
8/19/2020,689,48
8/20/2020,527,49
8/21/2020,0,48
8/22/2020,1426,43
8/23/2020,764,42
8/24/2020,878,56
8/25/2020,951,50
8/26/2020,843,55
8/27/2020,863,51
8/28/2020,793,42
8/29/2020,0,32
8/30/2020,1390,41
8/31/2020,499,52
9/1/2020,795,54
9/2/2020,648,53
9/3/2020,774,60
9/4/2020,1053,42
9/5/2020,896,39
9/6/2020,0,32
9/7/2020,1212,48
9/8/2020,499,54
9/9/2020,970,58
9/10/2020,974,58
9/11/2020,1405,65
9/12/2020,807,53
9/13/2020,0,50
9/14/2020,1229,58
9/15/2020,689,55
9/16/2020,766,55
9/17/2020,980,47
9/18/2020,778,50
9/19/2020,587,38
9/20/2020,0,44
9/21/2020,1575,49
9/22/2020,695,56
9/23/2020,902,54
9/24/2020,1078,52
9/25/2020,1040,54
9/26/2020,996,44
9/27/2020,0,53
9/28/2020,1329,51
9/29/2020,1118,58
9/30/2020,1194,49
10/1/2020,998,51
10/2/2020,984,51
10/3/2020,1275,47
10/4/2020,0,45
10/5/2020,1455,51
10/6/2020,1151,60
10/7/2020,1215,50
10/8/2020,1401,48
10/9/2020,1323,57
10/10/2020,1637,47
10/11/2020,0,52
10/12/2020,1943,57
10/13/2020,1466,48
10/14/2020,1593,56
10/15/2020,2458,59
10/16/2020,2206,
