Time,Nevada,PercentOfBaseline
3/16/2020,25,68
3/17/2020,10,67
3/18/2020,0,63
3/19/2020,40,44
3/20/2020,66,39
3/21/2020,0,23
3/22/2020,29,18
3/23/2020,55,53
3/24/2020,33,39
3/25/2020,45,44
3/26/2020,97,40
3/27/2020,116,31
3/28/2020,90,16
3/29/2020,294,12
3/30/2020,92,38
3/31/2020,102,44
4/1/2020,165,40
4/2/2020,184,43
4/3/2020,51,29
4/4/2020,228,18
4/5/2020,113,12
4/6/2020,98,38
4/7/2020,171,52
4/8/2020,135,42
4/9/2020,197,31
4/10/2020,266,28
4/11/2020,-20,14
4/12/2020,134,14
4/13/2020,154,32
4/14/2020,144,38
4/15/2020,77,31
4/16/2020,3,32
4/17/2020,310,42
4/18/2020,102,31
4/19/2020,102,21
4/20/2020,102,33
4/21/2020,107,38
4/22/2020,144,40
4/23/2020,127,37
4/24/2020,190,32
4/25/2020,141,25
4/26/2020,195,22
4/27/2020,-34,38
4/28/2020,121,42
4/29/2020,113,48
4/30/2020,119,37
5/1/2020,195,31
5/2/2020,141,15
5/3/2020,83,15
5/4/2020,158,39
5/5/2020,30,37
5/6/2020,81,45
5/7/2020,114,33
5/8/2020,65,32
5/9/2020,251,15
5/10/2020,-51,16
5/11/2020,32,29
5/12/2020,161,29
5/13/2020,163,31
5/14/2020,28,34
5/15/2020,229,32
5/16/2020,80,15
5/17/2020,136,18
5/18/2020,112,30
5/19/2020,35,39
5/20/2020,292,40
5/21/2020,12,24
5/22/2020,125,26
5/23/2020,1,14
5/24/2020,355,12
5/25/2020,75,10
5/26/2020,101,35
5/27/2020,93,39
5/28/2020,98,35
5/29/2020,128,20
5/30/2020,141,14
5/31/2020,111,14
6/1/2020,74,31
6/2/2020,156,40
6/3/2020,93,41
6/4/2020,178,37
6/5/2020,180,35
6/6/2020,182,22
6/7/2020,178,19
6/8/2020,147,36
6/9/2020,229,41
6/10/2020,173,37
6/11/2020,255,36
6/12/2020,231,25
6/13/2020,293,26
6/14/2020,204,19
6/15/2020,114,41
6/16/2020,368,29
6/17/2020,171,38
6/18/2020,315,29
6/19/2020,355,32
6/20/2020,452,20
6/21/2020,264,15
6/22/2020,288,33
6/23/2020,469,36
6/24/2020,365,30
6/25/2020,497,34
6/26/2020,381,37
6/27/2020,1099,20
6/28/2020,821,16
6/29/2020,734,32
6/30/2020,562,29
7/1/2020,645,37
7/2/2020,632,41
7/3/2020,985,31
7/4/2020,857,17
7/5/2020,843,20
7/6/2020,491,35
7/7/2020,876,43
7/8/2020,516,41
7/9/2020,603,39
7/10/2020,1004,40
7/11/2020,930,32
7/12/2020,845,26
7/13/2020,832,53
7/14/2020,1104,42
7/15/2020,849,40
7/16/2020,1447,40
7/17/2020,1380,37
7/18/2020,1182,32
7/19/2020,1288,25
7/20/2020,948,36
7/21/2020,815,46
7/22/2020,1129,51
7/23/2020,1262,34
7/24/2020,966,35
7/25/2020,931,32
7/26/2020,1027,28
7/27/2020,988,48
7/28/2020,1105,32
7/29/2020,870,39
7/30/2020,1018,35
7/31/2020,1264,30
8/1/2020,986,31
8/2/2020,1131,34
8/3/2020,994,53
8/4/2020,980,49
8/5/2020,649,42
8/6/2020,729,48
8/7/2020,976,33
8/8/2020,886,29
8/9/2020,811,19
8/10/2020,742,38
8/11/2020,548,55
8/12/2020,528,27
8/13/2020,602,33
8/14/2020,1099,36
8/15/2020,859,35
8/16/2020,697,36
8/17/2020,662,44
8/18/2020,672,47
8/19/2020,389,38
8/20/2020,556,42
8/21/2020,849,34
8/22/2020,636,44
8/23/2020,532,41
8/24/2020,409,56
8/25/2020,403,63
8/26/2020,253,59
8/27/2020,554,48
8/28/2020,632,32
8/29/2020,609,44
8/30/2020,447,38
8/31/2020,320,55
9/1/2020,405,60
9/2/2020,239,63
9/3/2020,351,53
9/4/2020,489,43
9/5/2020,390,36
9/6/2020,508,22
9/7/2020,357,64
9/8/2020,137,59
9/9/2020,154,66
9/10/2020,288,59
9/11/2020,260,51
9/12/2020,414,32
9/13/2020,317,45
9/14/2020,277,54
9/15/2020,226,54
9/16/2020,208,51
9/17/2020,347,56
9/18/2020,501,36
9/19/2020,323,29
9/20/2020,385,48
9/21/2020,232,56
9/22/2020,262,62
9/23/2020,509,51
9/24/2020,390,40
9/25/2020,556,27
9/26/2020,602,27
9/27/2020,373,44
9/28/2020,463,42
9/29/2020,404,49
9/30/2020,385,45
10/1/2020,430,50
10/2/2020,772,27
10/3/2020,526,25
10/4/2020,392,57
10/5/2020,337,58
10/6/2020,479,76
10/7/2020,431,62
10/8/2020,480,51
10/9/2020,766,24
10/10/2020,806,31
10/11/2020,380,43
10/12/2020,569,49
10/13/2020,487,57
10/14/2020,479,49
10/15/2020,655,34
10/16/2020,716,
