State,MedianAge,MedianAgeMale,MedianAgeFemale
Florida,41.9,40.3,43.5
New Jersey,39.8,38.2,41.4
Michigan,39.7,38.2,41
Massachusetts,39.4,37.9,40.9
Hawaii,38.9,37.4,40.4
New York,38.7,37.1,40.2
North Carolina,38.6,37.1,40.1
Virginia,38.1,36.8,39.4
Nevada,37.9,37.2,38.5
Illinois,37.9,36.6,39.2
Colorado,36.6,35.7,37.6
Georgia,36.5,35.2,37.8
California,36.3,35.2,37.5
Texas,34.4,33.5,35.4
Washington DC,33.9,33.8,34.1
Nova Scotia,45,,
Quebec,42.7,,
British Columbia,42.2,,
Ontario,40.4,,
Manitoba,37.6,,
Alberta,37.5,,
