State,"Population, 2019",pop per km2
California,39512223,656.562465
Texas,28995881,287.48889
Florida,21477737,1036.772997
New York,19453561,1069.147872
Illinois,12671821,591.294717
Georgia,10617423,476.55816
North Carolina,10488084,558.660843
Michigan,9986857,455.83824
Washington DC,705749,29898.84456
New Jersey,8882190,3127.930923
Massachusetts,6892503,2288.256165
Ontario,14734014,16.21439954
British Columbia,5147712,5.580157402
Quebec,8574571,6.320515466
Alberta,4421876,6.905615579
Manitoba,1379263,2.496986672
Nova Scotia,979351,18.49847013
Colorado,5759000,21.44
Hawaii,1416000,335.3786479
Nevada,3080000,72.12
Virginia,8536000,516.6500058
