Time,New Jersey,PercentOfBaseline
3/16/2020,104,100
3/17/2020,74,100
3/18/2020,147,100
3/19/2020,344,92
3/20/2020,149,93
3/21/2020,437,78
3/22/2020,587,93
3/23/2020,930,77
3/24/2020,831,77
3/25/2020,727,70
3/26/2020,2474,61
3/27/2020,1949,66
3/28/2020,2299,61
3/29/2020,2262,73
3/30/2020,3250,68
3/31/2020,2060,61
4/1/2020,3559,64
4/2/2020,3335,64
4/3/2020,4305,67
4/4/2020,4229,59
4/5/2020,3381,61
4/6/2020,3585,74
4/7/2020,3326,66
4/8/2020,3021,63
4/9/2020,3590,73
4/10/2020,3561,67
4/11/2020,3563,55
4/12/2020,3699,64
4/13/2020,2734,54
4/14/2020,4240,57
4/15/2020,2206,63
4/16/2020,4287,60
4/17/2020,3150,66
4/18/2020,2953,59
4/19/2020,3881,66
4/20/2020,3421,67
4/21/2020,3665,64
4/22/2020,3527,65
4/23/2020,4111,64
4/24/2020,2171,62
4/25/2020,3302,57
4/26/2020,3540,55
4/27/2020,2150,70
4/28/2020,2668,70
4/29/2020,2509,65
4/30/2020,2287,67
5/1/2020,2538,65
5/2/2020,2527,56
5/3/2020,3027,66
5/4/2020,1525,73
5/5/2020,2324,77
5/6/2020,1297,73
5/7/2020,2101,70
5/8/2020,1849,70
5/9/2020,1557,59
5/10/2020,1357,64
5/11/2020,1452,79
5/12/2020,711,70
5/13/2020,643,68
5/14/2020,1144,67
5/15/2020,1280,68
5/16/2020,1105,68
5/17/2020,1415,65
5/18/2020,1736,78
5/19/2020,1116,74
5/20/2020,1420,69
5/21/2020,810,74
5/22/2020,993,71
5/23/2020,561,56
5/24/2020,1014,63
5/25/2020,938,31
5/26/2020,672,63
5/27/2020,864,71
5/28/2020,557,71
5/29/2020,1659,71
5/30/2020,764,63
5/31/2020,837,63
6/1/2020,473,76
6/2/2020,627,71
6/3/2020,523,68
6/4/2020,462,73
6/5/2020,806,74
6/6/2020,557,62
6/7/2020,271,70
6/8/2020,333,78
6/9/2020,299,74
6/10/2020,550,69
6/11/2020,470,89
6/12/2020,348,84
6/13/2020,441,65
6/14/2020,276,84
6/15/2020,222,89
6/16/2020,323,85
6/17/2020,277,79
6/18/2020,404,82
6/19/2020,389,77
6/20/2020,338,79
6/21/2020,308,92
6/22/2020,273,96
6/23/2020,319,92
6/24/2020,158,91
6/25/2020,304,98
6/26/2020,388,100
6/27/2020,289,95
6/28/2020,309,100
6/29/2020,90,100
6/30/2020,395,100
7/1/2020,261,94
7/2/2020,428,96
7/3/2020,386,61
7/4/2020,291,65
7/5/2020,369,100
7/6/2020,209,94
7/7/2020,267,100
7/8/2020,161,100
7/9/2020,231,100
7/10/2020,358,100
7/11/2020,331,100
7/12/2020,339,100
7/13/2020,224,100
7/14/2020,393,100
7/15/2020,363,93
7/16/2020,223,100
7/17/2020,50,100
7/18/2020,263,100
7/19/2020,-31,100
7/20/2020,180,100
7/21/2020,293,100
7/22/2020,389,98
7/23/2020,242,100
7/24/2020,458,100
7/25/2020,513,100
7/26/2020,505,100
7/27/2020,449,100
7/28/2020,483,100
7/29/2020,305,100
7/30/2020,370,100
7/31/2020,690,100
8/1/2020,369,100
8/2/2020,321,100
8/3/2020,264,100
8/4/2020,356,100
8/5/2020,357,100
8/6/2020,374,100
8/7/2020,360,100
8/8/2020,368,100
8/9/2020,344,100
8/10/2020,258,100
8/11/2020,444,100
8/12/2020,463,100
8/13/2020,656,100
8/14/2020,570,100
8/15/2020,278,100
8/16/2020,13,100
8/17/2020,312,100
8/18/2020,331,100
8/19/2020,329,100
8/20/2020,100,100
8/21/2020,290,100
8/22/2020,529,100
8/23/2020,148,100
8/24/2020,225,100
8/25/2020,302,100
8/26/2020,285,100
8/27/2020,307,100
8/28/2020,358,100
8/29/2020,349,100
8/30/2020,291,100
8/31/2020,349,100
9/1/2020,330,100
9/2/2020,305,100
9/3/2020,378,100
9/4/2020,449,91
9/5/2020,325,100
9/6/2020,311,56
9/7/2020,332,92
9/8/2020,277,100
9/9/2020,327,100
9/10/2020,420,100
9/11/2020,474,100
9/12/2020,449,100
9/13/2020,297,100
9/14/2020,334,100
9/15/2020,436,100
9/16/2020,388,100
9/17/2020,569,100
9/18/2020,487,100
9/19/2020,461,100
9/20/2020,453,100
9/21/2020,392,100
9/22/2020,426,95
9/23/2020,408,100
9/24/2020,228,100
9/25/2020,884,100
9/26/2020,750,100
9/27/2020,698,100
9/28/2020,559,100
9/29/2020,456,97
9/30/2020,712,100
10/1/2020,614,100
10/2/2020,740,100
10/3/2020,947,100
10/4/2020,626,100
10/5/2020,511,100
10/6/2020,629,100
10/7/2020,508,100
10/8/2020,1298,100
10/9/2020,865,100
10/10/2020,864,100
10/11/2020,751,83
10/12/2020,469,100
10/13/2020,988,100
10/14/2020,938,100
10/15/2020,971,100
10/16/2020,810,
