Time,Nova Scotia,PercentOfBaseline,,
3/16/2020,5,72,,
3/17/2020,2,56,,
3/18/2020,5,47,,
3/19/2020,2,38,,
3/20/2020,1,42,,
3/21/2020,6,38,,
3/22/2020,7,26,,
3/23/2020,13,54,,
3/24/2020,10,45,,
3/25/2020,17,42,,
3/26/2020,5,37,,
3/27/2020,17,59,,
3/28/2020,20,44,,
3/29/2020,12,32,,
3/30/2020,5,56,,
3/31/2020,20,49,,
4/1/2020,26,30,,
4/2/2020,20,41,,
4/3/2020,14,35,,
4/4/2020,29,33,,
4/6/2020,31,55,,
4/7/2020,17,33,,
4/8/2020,0,35,,
4/9/2020,32,32,,
4/13/2020,29,5,,
4/14/2020,43,34,,
4/15/2020,32,33,,
4/16/2020,30,34,,
4/17/2020,27,35,,
4/18/2020,43,28,,
4/20/2020,46,22,,
4/21/2020,16,41,,
4/22/2020,35,33,,
4/23/2020,55,37,,
4/24/2020,23,30,,
4/25/2020,15,34,,
4/26/2020,8,11,,
4/27/2020,27,11,,
4/28/2020,15,43,,
4/29/2020,20,60,,
4/30/2020,12,45,,
5/1/2020,12,36,,
5/2/2020,4,35,,
5/3/2020,8,14,,
5/4/2020,14,19,,
5/5/2020,6,56,,
5/6/2020,7,61,,
5/7/2020,9,45,,
5/8/2020,1,43,,
5/9/2020,3,28,,
5/10/2020,7,25,,
5/11/2020,1,26,,
5/12/2020,1,80,,
5/13/2020,4,71,,
5/14/2020,2,68,,
5/15/2020,8,56,,
5/16/2020,3,50,,
5/17/2020,3,63,,
5/18/2020,3,79,,
5/19/2020,1,46,,
5/20/2020,1,77,,
5/21/2020,1,66,,
5/22/2020,2,51,,
5/23/2020,1,47,,
5/24/2020,1,20,,
5/25/2020,1,30,,
5/26/2020,1,69,,
5/27/2020,1,73,,
5/28/2020,2,73,,
5/29/2020,0,73,,
5/30/2020,1,80,,
5/31/2020,0,100,,
6/1/2020,1,100,,
6/2/2020,0,100,,
6/3/2020,1,85,,
6/4/2020,0,77,,
6/5/2020,0,40,,
6/6/2020,0,43,,
6/7/2020,1,33,,
6/8/2020,0,23,,
6/9/2020,1,87,,
6/10/2020,1,83,,
6/11/2020,0,79,,
6/12/2020,0,78,,
6/13/2020,0,71,,
6/14/2020,0,35,,
6/15/2020,0,68,,
6/16/2020,0,96,,
6/17/2020,0,89,,
6/18/2020,0,84,,
6/19/2020,0,68,,
6/20/2020,0,68,,
6/21/2020,0,48,,
6/22/2020,0,36,,
6/23/2020,0,96,,
6/24/2020,0,81,,
6/25/2020,0,86,,
6/26/2020,0,78,,
6/27/2020,0,65,,
6/28/2020,0,35,,
6/29/2020,0,44,,
6/30/2020,1,92,,
7/1/2020,1,80,,
7/2/2020,1,45,,
7/3/2020,0,66,,
7/4/2020,0,47,,
7/5/2020,0,55,,
7/6/2020,1,53,,
7/7/2020,0,88,,
7/8/2020,1,67,,
7/9/2020,0,84,,
7/10/2020,0,80,,
7/11/2020,0,66,,
7/12/2020,0,41,,
7/13/2020,0,61,,
7/14/2020,0,99,,
7/15/2020,1,66,,
7/16/2020,0,57,,
7/17/2020,0,42,,
7/18/2020,0,60,,
7/19/2020,0,38,,
7/20/2020,0,34,,
7/21/2020,0,78,,
7/22/2020,0,63,,
7/23/2020,0,67,,
7/24/2020,0,59,,
7/25/2020,0,56,,
7/26/2020,0,20,,
7/27/2020,0,23,,
7/28/2020,0,71,,
7/29/2020,0,56,,
7/30/2020,0,64,,
7/31/2020,2,51,,
8/1/2020,0,39,,
8/3/2020,0,33,,
8/4/2020,0,22,,
8/5/2020,0,62,,
8/6/2020,0,52,,
8/7/2020,0,47,,
8/8/2020,0,48,,
8/9/2020,0,16,,
8/10/2020,0,25,,
8/11/2020,0,71,,
8/12/2020,0,44,,
8/13/2020,0,52,,
8/14/2020,1,46,,
8/15/2020,2,52,,
8/17/2020,1,25,,
8/18/2020,0,41,,
8/19/2020,1,50,,
8/20/2020,1,54,,
8/21/2020,0,58,,
8/22/2020,1,64,,
8/23/2020,2,100,,
8/24/2020,0,66,,
8/25/2020,0,55,,
8/26/2020,1,49,,
8/27/2020,0,43,,
8/28/2020,2,55,,
8/29/2020,0,23,,
8/30/2020,0,19,,
8/31/2020,2,66,,
9/1/2020,0,53,,
9/2/2020,0,55,,
9/3/2020,0,51,,
9/4/2020,0,50,,
9/5/2020,0,27,,
9/7/2020,1,12,,
9/8/2020,0,48,,
9/9/2020,0,67,,
9/10/2020,0,59,,
9/11/2020,0,88,,
9/12/2020,0,38,,
9/14/2020,0,63,,
9/15/2020,0,58,,
9/16/2020,0,50,,
9/17/2020,0,62,,
9/18/2020,0,49,,
9/19/2020,0,14,,
9/21/2020,0,83,,
9/22/2020,1,72,,
9/23/2020,0,38,,
9/24/2020,0,57,,
9/25/2020,0,64,,
9/26/2020,0,34,,
9/27/2020,0,32,,
9/28/2020,0,100,,
9/29/2020,0,100,,
9/30/2020,1,73,,
10/1/2020,0,64,,
10/2/2020,1,68,,
10/3/2020,0,22,,
10/4/2020,0,25,,
10/5/2020,0,96,,
10/6/2020,0,100,,
10/7/2020,0,100,,
10/8/2020,0,94,,
10/9/2020,0,100,,
10/10/2020,3,100,,
10/11/2020,0,100,,
10/12/2020,0,17,,
10/13/2020,0,60,,
10/14/2020,0,69,,
10/15/2020,0,67,,
10/16/2020,1,54,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,f
