Time,Texas,PercentOfBaseline
3/16/2020,22,82
3/17/2020,25,88
3/18/2020,86,77
3/19/2020,110,73
3/20/2020,123,71
3/21/2020,153,71
3/22/2020,61,63
3/23/2020,115,79
3/24/2020,197,75
3/25/2020,274,74
3/26/2020,334,69
3/27/2020,374,76
3/28/2020,518,64
3/29/2020,337,49
3/30/2020,355,56
3/31/2020,662,68
4/1/2020,546,65
4/2/2020,714,69
4/3/2020,665,66
4/4/2020,833,52
4/5/2020,642,43
4/6/2020,834,69
4/7/2020,882,69
4/8/2020,852,68
4/9/2020,1431,60
4/10/2020,897,55
4/11/2020,918,49
4/12/2020,654,31
4/13/2020,598,59
4/14/2020,731,62
4/15/2020,901,60
4/16/2020,969,64
4/17/2020,973,59
4/18/2020,855,50
4/19/2020,556,41
4/20/2020,491,64
4/21/2020,913,58
4/22/2020,657,65
4/23/2020,1329,62
4/24/2020,992,64
4/25/2020,511,44
4/26/2020,814,36
4/27/2020,445,63
4/28/2020,945,67
4/29/2020,1012,67
4/30/2020,1358,58
5/1/2020,965,65
5/2/2020,1225,47
5/3/2020,1081,32
5/4/2020,785,69
5/5/2020,1129,54
5/6/2020,1016,66
5/7/2020,1108,63
5/8/2020,1210,54
5/9/2020,1148,42
5/10/2020,864,38
5/11/2020,1297,68
5/12/2020,1113,61
5/13/2020,1352,72
5/14/2020,1460,66
5/15/2020,1241,62
5/16/2020,1731,49
5/17/2020,944,38
5/18/2020,781,70
5/19/2020,1375,72
5/20/2020,1307,70
5/21/2020,1194,69
5/22/2020,486,68
5/23/2020,1237,50
5/24/2020,1085,35
5/25/2020,548,16
5/26/2020,821,67
5/27/2020,1312,71
5/28/2020,1853,69
5/29/2020,506,70
5/30/2020,1993,56
5/31/2020,1758,38
6/1/2020,941,71
6/2/2020,1717,72
6/3/2020,1567,70
6/4/2020,1678,80
6/5/2020,1993,80
6/6/2020,1922,65
6/7/2020,938,58
6/8/2020,1055,80
6/9/2020,1745,81
6/10/2020,2569,84
6/11/2020,1881,79
6/12/2020,2269,78
6/13/2020,1988,61
6/14/2020,1608,46
6/15/2020,1688,77
6/16/2020,3358,78
6/17/2020,4130,86
6/18/2020,3560,83
6/19/2020,4135,78
6/20/2020,4187,58
6/21/2020,3363,44
6/22/2020,4846,69
6/23/2020,5142,66
6/24/2020,5200,85
6/25/2020,6426,79
6/26/2020,5615,70
6/27/2020,5721,62
6/28/2020,4828,54
6/29/2020,5984,70
6/30/2020,6354,77
7/1/2020,9308,80
7/2/2020,6769,85
7/3/2020,7662,41
7/4/2020,7159,33
7/5/2020,3463,55
7/6/2020,8221,70
7/7/2020,10384,83
7/8/2020,8903,91
7/9/2020,11612,82
7/10/2020,9379,80
7/11/2020,8495,70
7/12/2020,8347,54
7/13/2020,7016,82
7/14/2020,9799,90
7/15/2020,11315,93
7/16/2020,14962,79
7/17/2020,11914,76
7/18/2020,9338,67
7/19/2020,8151,52
7/20/2020,8526,86
7/21/2020,7288,96
7/22/2020,12544,97
7/23/2020,9422,78
7/24/2020,7327,86
7/25/2020,9922,67
7/26/2020,3798,53
7/27/2020,6252,81
7/28/2020,8157,82
7/29/2020,10502,87
7/30/2020,9234,84
7/31/2020,10064,74
8/1/2020,6445,73
8/2/2020,3407,51
8/3/2020,8479,74
8/4/2020,9408,81
8/5/2020,10967,81
8/6/2020,6921,75
8/7/2020,7384,84
8/8/2020,6328,64
8/9/2020,5696,65
8/10/2020,6253,80
8/11/2020,8119,80
8/12/2020,6277,84
8/13/2020,6880,77
8/14/2020,8816,88
8/15/2020,6879,67
8/16/2020,8842,65
8/17/2020,5716,0
8/18/2020,7702,85
8/19/2020,5821,87
8/20/2020,5259,81
8/21/2020,5670,76
8/22/2020,3717,76
8/23/2020,4756,67
8/24/2020,4227,82
8/25/2020,6066,83
8/26/2020,6320,92
8/27/2020,3901,81
8/28/2020,4805,95
8/29/2020,7397,84
8/30/2020,2819,75
8/31/2020,3169,90
9/1/2020,4982,82
9/2/2020,4134,82
9/3/2020,3567,85
9/4/2020,5928,80
9/5/2020,4465,81
9/6/2020,2387,71
9/7/2020,839,26
9/8/2020,3386,79
9/9/2020,5073,96
9/10/2020,1641,90
9/11/2020,5802,90
9/12/2020,2682,84
9/13/2020,4260,69
9/14/2020,3863,98
9/15/2020,7005,95
9/16/2020,4054,96
9/17/2020,4543,94
9/18/2020,3213,97
9/19/2020,3377,80
9/20/2020,5067,70
9/21/2020,21771,95
9/22/2020,6585,87
9/23/2020,1550,100
9/24/2020,4453,89
9/25/2020,3702,95
9/26/2020,3243,89
9/27/2020,4445,70
9/28/2020,2442,100
9/29/2020,6066,100
9/30/2020,5755,100
10/1/2020,3717,100
10/2/2020,5570,92
10/3/2020,5119,70
10/4/2020,2769,86
10/5/2020,4125,95
10/6/2020,4250,97
10/7/2020,5121,100
10/8/2020,4064,91
10/9/2020,4437,96
10/10/2020,3724,80
10/11/2020,2511,79
10/12/2020,2684,96
10/13/2020,5706,91
10/14/2020,5920,100
10/15/2020,4830,93
10/16/2020,5921,99
