Time,Virginia,PercentOfBaseline
3/16/2020,12,89
3/17/2020,18,94
3/18/2020,12,85
3/19/2020,24,71
3/20/2020,20,75
3/21/2020,34,71
3/22/2020,63,68
3/23/2020,34,65
3/24/2020,39,57
3/25/2020,103,59
3/26/2020,70,53
3/27/2020,141,57
3/28/2020,133,48
3/29/2020,150,42
3/30/2020,130,54
3/31/2020,229,57
4/1/2020,234,57
4/2/2020,223,39
4/3/2020,306,51
4/4/2020,395,40
4/5/2020,233,32
4/6/2020,238,60
4/7/2020,457,53
4/8/2020,310,55
4/9/2020,397,48
4/10/2020,467,46
4/11/2020,568,29
4/12/2020,197,36
4/13/2020,473,53
4/14/2020,435,60
4/15/2020,318,59
4/16/2020,389,51
4/17/2020,602,52
4/18/2020,562,36
4/19/2020,489,41
4/20/2020,448,59
4/21/2020,640,47
4/22/2020,636,53
4/23/2020,732,50
4/24/2020,596,53
4/25/2020,772,46
4/26/2020,604,44
4/27/2020,568,56
4/28/2020,801,53
4/29/2020,623,59
4/30/2020,885,45
5/1/2020,1055,49
5/2/2020,836,39
5/3/2020,934,36
5/4/2020,821,60
5/5/2020,764,65
5/6/2020,728,52
5/7/2020,585,51
5/8/2020,772,52
5/9/2020,854,46
5/10/2020,885,34
5/11/2020,989,60
5/12/2020,730,56
5/13/2020,946,57
5/14/2020,1067,58
5/15/2020,859,49
5/16/2020,1011,40
5/17/2020,705,32
5/18/2020,752,54
5/19/2020,1005,48
5/20/2020,763,56
5/21/2020,1229,47
5/22/2020,813,42
5/23/2020,799,33
5/24/2020,495,44
5/25/2020,1483,19
5/26/2020,1615,57
5/27/2020,907,59
5/28/2020,1152,55
5/29/2020,1132,60
5/30/2020,1078,47
5/31/2020,996,32
6/1/2020,791,58
6/2/2020,841,54
6/3/2020,666,55
6/4/2020,951,51
6/5/2020,676,63
6/6/2020,865,50
6/7/2020,1284,43
6/8/2020,570,59
6/9/2020,487,58
6/10/2020,439,53
6/11/2020,470,53
6/12/2020,564,51
6/13/2020,658,40
6/14/2020,637,40
6/15/2020,380,55
6/16/2020,445,53
6/17/2020,444,54
6/18/2020,463,59
6/19/2020,555,56
6/20/2020,650,41
6/21/2020,551,28
6/22/2020,471,63
6/23/2020,529,61
6/24/2020,520,67
6/25/2020,432,58
6/26/2020,624,55
6/27/2020,677,56
6/28/2020,489,28
6/29/2020,453,59
6/30/2020,598,53
7/1/2020,416,51
7/2/2020,532,45
7/3/2020,658,28
7/4/2020,716,16
7/5/2020,639,36
7/6/2020,354,45
7/7/2020,638,53
7/8/2020,635,53
7/9/2020,613,57
7/10/2020,943,55
7/11/2020,851,53
7/12/2020,888,38
7/13/2020,972,55
7/14/2020,801,63
7/15/2020,1084,58
7/16/2020,904,46
7/17/2020,1002,58
7/18/2020,940,42
7/19/2020,1057,44
7/20/2020,945,63
7/21/2020,996,68
7/22/2020,1022,71
7/23/2020,844,56
7/24/2020,1127,50
7/25/2020,1245,53
7/26/2020,958,50
7/27/2020,1505,57
7/28/2020,922,57
7/29/2020,999,60
7/30/2020,911,62
7/31/2020,984,55
8/1/2020,913,59
8/2/2020,981,54
8/3/2020,1324,64
8/4/2020,1145,57
8/5/2020,798,66
8/6/2020,818,65
8/7/2020,2015,60
8/8/2020,1307,46
8/9/2020,897,44
8/10/2020,663,61
8/11/2020,996,64
8/12/2020,776,59
8/13/2020,1101,57
8/14/2020,1216,52
8/15/2020,912,43
8/16/2020,937,54
8/17/2020,734,61
8/18/2020,861,67
8/19/2020,737,69
8/20/2020,860,58
8/21/2020,978,62
8/22/2020,1215,52
8/23/2020,888,69
8/24/2020,663,68
8/25/2020,1003,67
8/26/2020,822,65
8/27/2020,1121,65
8/28/2020,1023,54
8/29/2020,1217,41
8/30/2020,938,65
8/31/2020,847,72
9/1/2020,1021,59
9/2/2020,903,60
9/3/2020,1119,47
9/4/2020,1101,38
9/5/2020,989,46
9/6/2020,1199,17
9/7/2020,645,61
9/8/2020,836,62
9/9/2020,882,57
9/10/2020,1236,67
9/11/2020,1115,46
9/12/2020,1228,46
9/13/2020,946,83
9/14/2020,757,81
9/15/2020,943,73
9/16/2020,845,63
9/17/2020,1101,69
9/18/2020,1242,54
9/19/2020,953,66
9/20/2020,856,69
9/21/2020,627,74
9/22/2020,872,69
9/23/2020,580,62
9/24/2020,902,64
9/25/2020,941,49
9/26/2020,975,52
9/27/2020,736,65
9/28/2020,449,65
9/29/2020,923,68
9/30/2020,755,67
10/1/2020,450,62
10/2/2020,966,50
10/3/2020,1116,57
10/4/2020,1067,73
10/5/2020,687,66
10/6/2020,625,65
10/7/2020,509,70
10/8/2020,1844,67
10/9/2020,1114,52
10/10/2020,1256,66
10/11/2020,811,69
10/12/2020,854,67
10/13/2020,1235,74
10/14/2020,805,63
10/15/2020,1331,58
10/16/2020,1183,
