PercentOfBaseline,change,Unemploy
84,-0.349726776,8.7
70.83333333,1.588235294,8.7
75.83333333,-0.311688312,8.7
75.33333333,-0.094339623,13.4
82.5,0.010416667,13.4
62.83333333,0.56185567,13.4
83.16666667,0.739273927,13.4
43.66666667,-0.030360531,13.4
66.66666667,0.589041096,13.4
68.33333333,-0.064039409,15.5
71.66666667,-0.098684211,15.5
80.83333333,-0.262773723,15.5
67.66666667,-0.558415842,15.5
78.66666667,-0.080717489,15.5
65.5,-0.014634146,15.5
86.5,-0.222772277,15.5
79.16666667,0.191082803,15.5
80.16666667,-0.513368984,15.5
71,-0.087912088,15.5
62.66666667,0,15.5
