PercentOfBaseline,change,Unemploy
90.33333333,1.268518519,7.2
89.33333333,-0.383673469,7.2
81.33333333,-0.456953642,7.2
74.33333333,0.073170732,11.5
82.66666667,0.75,11.5
63,-0.707792208,11.5
73,0.888888889,11.5
42.66666667,-0.152941176,11.5
64.66666667,1.458333333,11.5
71.66666667,-0.299435028,13.4
68.66666667,0.120967742,13.4
73.33333333,-0.395683453,13.4
56,-0.273809524,13.4
74,0.360655738,13.4
69.66666667,-0.542168675,13.4
69.66666667,0.026315789,13
76.33333333,-0.076923077,13
66.66666667,0.083333333,13
78.33333333,0.282051282,13
60.33333333,-0.52,13
