PercentOfBaseline,change,Unemploy
70.33333333,1.292758089,4.3
67.33333333,0.729166667,4.3
70.33333333,0.373882627,4.3
56,-0.054596888,12.9
64.33333333,-0.070616397,12.9
56.66666667,-0.02189311,12.9
63.33333333,0.031599737,12.9
57,-0.000957243,12.9
55,-0.265410412,12.9
65,0.125652174,13.7
63.33333333,-0.27230591,13.7
69,-0.11836518,13.7
73.66666667,0.366646598,13.7
79.66666667,-0.129515419,13.7
85.33333333,-0.109311741,13.7
79.66666667,0.013068182,10.4
69,0.249579361,10.4
60,0.067324955,10.4
73.33333333,-0.208158116,10.4
63.66666667,0.410515135,10.4
