PercentOfBaseline,change,Unemploy
65.16666667,0.154679285,4.5
61.66666667,0.176714325,4.5
55.83333333,0.186162597,4.5
57.83333333,-0.089808834,14.5
53.5,0.073975843,14.5
55.66666667,-0.266010345,14.5
49.5,0.253841957,14.5
50.66666667,-0.346049244,14.5
50.83333333,-0.177719862,14.5
47,0.657900061,14.5
52.83333333,-0.526296522,14.5
49.66666667,0.140820883,14.5
51.83333333,-0.381679964,14.5
50,0.121728545,14.5
49.83333333,-0.278567553,14.5
53.66666667,-0.098074609,15.7
49.5,0.179119413,15.7
54.33333333,-0.399009901,15.7
52.66666667,0.307601789,15.7
53.83333333,-0.296256299,15.7
