PercentOfBaseline,change,Unemploy
83.16666667,0.753694581,7.6
76.16666667,0.526685393,7.6
76,0.436062557,7.6
53.66666667,-0.409352979,11.3
74.16666667,0.488069414,11.3
48.33333333,-0.048833819,11.3
74.83333333,0.918007663,11.3
34.5,-0.357970435,11.3
57.83333333,0.247666459,11.3
69.5,-0.251870324,13.6
54.5,-0.06,13.6
72.16666667,-0.04751773,13.6
52.33333333,-0.145941921,13.6
77,0.183958152,13.6
68.16666667,-0.270250368,13.6
63.66666667,0.057517659,12.2
76.66666667,0.058206107,12.2
57.5,0.102795311,12.2
77.66666667,0.114472608,12.2
55.16666667,-0.219369039,12.2
