State,MedianAge,MedianAgeMale,MedianAgeFemale
Maine,44.6,43.2,45.8
Vermont,42.9,41.4,44.2
New Hampshire,42.7,41.5,44
West Virginia,42.4,41,43.6
Florida,41.9,40.3,43.5
Puerto Rico,40.9,39,42.6
Connecticut,40.8,39.1,42.6
Pennsylvania,40.7,39.1,42.4
Delaware,40.2,38.5,42
Rhode Island,39.9,38.1,41.6
New Jersey,39.8,38.2,41.4
Montana,39.8,38.7,40.9
Michigan,39.7,38.2,41
Massachusetts,39.4,37.9,40.9
Wisconsin,39.3,38.2,40.5
Ohio,39.3,37.8,40.8
South Carolina,39.2,37.6,40.7
Oregon,39.2,38.2,40.3
Hawaii,38.9,37.4,40.4
Alabama,38.9,37.4,40.3
Tennessee,38.7,37.4,39.9
New York,38.7,37.1,40.2
Kentucky,38.7,37.3,40.1
North Carolina,38.6,37.1,40.1
Maryland,38.6,37,40.1
Missouri,38.5,37.1,40
Virginia,38.1,36.8,39.4
Iowa,38.1,36.9,39.3
Nevada,37.9,37.2,38.5
Minnesota,37.9,37,38.9
Illinois,37.9,36.6,39.2
Arkansas,37.9,36.6,39.3
Washington,37.6,36.6,38.7
Indiana,37.6,36.4,38.9
New Mexico,37.5,36.1,39.1
Arizona,37.4,36.1,38.7
Wyoming,37.3,36.5,38.2
Mississippi,37.2,35.6,38.6
South Dakota,36.8,35.8,38
Louisiana,36.6,35.4,37.9
Colorado,36.6,35.7,37.6
Kansas,36.5,35.3,37.9
Georgia,36.5,35.2,37.8
Oklahoma,36.4,35.2,37.7
Nebraska,36.4,35.4,37.4
California,36.3,35.2,37.5
Idaho,36.1,35.4,36.9
North Dakota,35.1,34.1,36.4
Texas,34.4,33.5,35.4
Alaska,34,33.6,34.5
Washington,33.9,33.8,34.1
Utah,30.7,30.1,31.3
Nova Scotia,,,45
Quebec,,,42.7
British Columbia,,,42.2
Ontario,,,40.4
Manitoba,,,37.6
Alberta,,,37.5
