outDegree,inDegree,pagerank,State
307,306.5,10.21350399,New York
263.6666667,264,9.782316305,Florida
370.5,374,14.17098108,California
118,115,5.135553592,Hawaii
246,252,9.280239538,Nevada
212,212,8.053001456,Massachusetts
356,354.5,13.82019034,Texas
348.5,341,12.31413691,Illinois
253,252,8.230818739,New Jersey
201,202,8.704359281,Washington
915,911,31.89249806,Georgia
196,191,6.730715636,Virginia
361,374,16.28382563,Colorado
192,191.5,6.725100031,North Carolina
216,217,7.826193077,Michigan
41,40,3.136412097,Manitoba
43,52,2.499206276,Nova Scotia
106.5,107.5,4.922351596,Quebec
91.5,92,4.666552652,Alberta
85.5,85,4.287392112,British Columbia
182,180.5,7.164430438,Ontario
